"PSComputerName","Status","Name","Path","Description"
"2012DATA-DC1","OK","ADMIN$","C:\Windows","Remote Admin"
"2012DATA-DC1","OK","C$","C:\","Default share"
"2012DATA-DC1","OK","IPC$","","Remote IPC"
"2012DATA-DC1","OK","NETLOGON","C:\Windows\SYSVOL\sysvol\contoso.com\SCRIPTS","Logon server share "
"2012DATA-DC1","OK","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share "
"2012DATA-DC1","OK","Test Share","C:\Test Share",""
"2012DATA-DC1","OK","Users","C:\Users",""
