"Name","OperatingSystem","CanonicalName","OperatingSystemHotfix","OperatingSystemServicePack","Enabled","LockedOut","LogonCount","Created","Modified","LastLogonDate","MemberOf","isCriticalSystemObject","HomedirRequired","Location","ProtectedFromAccidentalDeletion","TrustedForDelegation","SID","IPv4Address","MACAddress","PortScan","Notes"
"WIN10-02","Windows 10 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","364","2/23/2020 1:21:59 AM","5/24/2021 11:53:05 PM","12/26/2022 4:48:55 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1130","10.10.10.102","No MAC Available","No Ports","No Notes Available"
"WIN81-09","Windows 8.1 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","5/25/2020 12:50:15 AM","6/28/2020 11:12:39 PM","6/25/2020 10:18:07 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1136","10.10.10.111","No MAC Available","No Ports","No Notes Available"
"WIN81-06","Windows 8.1 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","False","False","0","5/25/2020 12:50:22 AM","6/28/2020 11:12:39 PM","6/15/2020 9:29:44 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1137","No IP Available","No MAC Available","No Ports","No Notes Available"
"WINXP-01","Windows XP Professional","/Europe Branch/Remote Support","No Operating System Hotfixes","Service Pack 3","False","False","0","1/29/2020 2:22:01 AM","6/28/2020 11:12:39 PM","1/29/2020 2:22:05 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1115","10.10.10.105","No MAC Available","No Ports","[ooooooooooo] No Notes Available"
"WIN10-01","Windows 10 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","433","2/23/2020 1:17:03 AM","6/27/2021 9:46:28 AM","12/26/2022 4:48:55 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1126","10.100.100.101","No MAC Available","No Ports","No Notes Available"
"WIN2019-01","Windows Server 2019 Standard Evaluation","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/23/2020 5:27:43 AM","6/28/2020 11:12:39 PM","2/23/2020 5:27:45 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1131","10.10.10.115","No MAC Available","No Ports","No Notes Available"
"WIN81-05","Windows 8.1 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","5/25/2020 12:50:31 AM","6/28/2020 11:12:39 PM","6/25/2020 11:43:38 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1138","10.10.10.113","No MAC Available","No Ports","No Notes Available"
"WIN10-06","Windows 10 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","74","2/21/2021 9:00:25 PM","5/7/2021 12:29:05 AM","5/5/2021 12:40:23 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-2606","10.100.100.106","No MAC Available","No Ports","No Notes Available"
"WIN10-07","Windows 10 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","57","2/21/2021 9:02:41 PM","5/5/2021 12:40:24 AM","5/5/2021 12:40:23 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-2607","10.10.10.107","No MAC Available","No Ports","No Notes Available"
"WIN10-08","Windows 10 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","60","2/21/2021 9:05:14 PM","5/5/2021 12:40:25 AM","5/5/2021 12:40:25 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-2608","10.10.10.108","No MAC Available","No Ports","No Notes Available"
"WIN10-10","Windows 10 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","60","2/21/2021 9:07:35 PM","5/5/2021 12:40:29 AM","5/5/2021 12:40:29 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-2609","10.10.10.110","No MAC Available","No Ports","No Notes Available"
"WIN10-09","Windows 10 Pro","/Computers","No Operating System Hotfixes","No Operating System Service Packs","True","False","60","2/21/2021 9:09:59 PM","5/7/2021 10:14:45 AM","5/5/2021 12:40:28 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-2610","10.10.10.109","No MAC Available","No Ports","No Notes Available"
