"ComputerName","Entry","Name","Data","Type","Status","Section","TTL","DataLength","PSComputerName","RunspaceId","PSShowComputerName"
"127.0.0.1","surfacego.mshome.net","SurfaceGo.mshome.net","192.168.137.1","1","0","1","603482","4","127.0.0.1","7767840c-5fd5-4b85-83e7-a8dad4d6a22b","True"
"127.0.0.1","surfacego.mshome.net","",,"28","9501","0","0","0","127.0.0.1","7767840c-5fd5-4b85-83e7-a8dad4d6a22b","True"
"127.0.0.1","1.137.168.192.in-addr.arpa","1.137.168.192.in-addr.arpa.","SurfaceGo.mshome.net","12","0","1","603482","8","127.0.0.1","7767840c-5fd5-4b85-83e7-a8dad4d6a22b","True"
