"PSComputerName","Name","ProcessID","ParentProcessID","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate"
"WIN81-01","lsass.exe","532","432",,"10391552","532","967","7","20181118081748.698229-300"
"WIN81-01","svchost.exe","592","524","C:\Windows\system32\svchost.exe","7839744","592","372","8","20181118081749.397018-300"
"WIN81-01","svchost.exe","636","524","C:\Windows\system32\svchost.exe","6037504","636","392","10","20181118081749.740979-300"
"WIN81-01","svchost.exe","736","524","C:\Windows\System32\svchost.exe","15548416","736","673","18","20181118081750.068973-300"
"WIN81-01","dwm.exe","760","484","C:\Windows\system32\dwm.exe","49516544","760","200","7","20181118081750.162541-300"
"WIN81-01","svchost.exe","780","524","C:\Windows\system32\svchost.exe","27512832","780","1430","39","20181118081750.178187-300"
"WIN81-01","svchost.exe","808","524","C:\Windows\system32\svchost.exe","12140544","808","795","18","20181118081750.256351-300"
"WIN81-01","svchost.exe","896","524","C:\Windows\System32\svchost.exe","13328384","896","364","9","20181118081750.556279-300"
"WIN81-01","svchost.exe","1052","524","C:\Windows\system32\svchost.exe","15118336","1052","597","18","20181118081751.146956-300"
"WIN81-01","spoolsv.exe","1176","524","C:\Windows\System32\spoolsv.exe","8908800","1176","403","9","20181118081751.443995-300"
"WIN81-01","svchost.exe","1216","524","C:\Windows\system32\svchost.exe","14737408","1216","477","21","20181118081751.506441-300"
"WIN81-01","esensor.exe","1352","524",,"84312064","1352","618","46","20181118081751.928193-300"
"WIN81-01","vmtoolsd.exe","1424","524","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","11776000","1424","307","8","20181118081752.193797-300"
"WIN81-01","MsMpEng.exe","1488","524",,"55775232","1488","516","17","20181118081752.584515-300"
"WIN81-01","svchost.exe","1984","524","C:\Windows\system32\svchost.exe","3629056","1984","107","3","20181118081753.662549-300"
"WIN81-01","dllhost.exe","372","524","C:\Windows\system32\dllhost.exe","7864320","372","192","10","20181118081753.959504-300"
"WIN81-01","msdtc.exe","1528","524","C:\Windows\System32\msdtc.exe","5423104","1528","159","9","20181118081755.568966-300"
"WIN81-01","NisSrv.exe","2328","524",,"1998848","2328","264","8","20181118081759.006303-300"
"WIN81-01","SearchIndexer.exe","1936","524","C:\Windows\system32\SearchIndexer.exe","14077952","1936","695","12","20181118081956.112621-300"
"WIN81-01","taskhostex.exe","1612","780","C:\Windows\system32\taskhostex.exe","8404992","1612","262","9","20181118085846.636780-300"
"WIN81-01","explorer.exe","2900","2908","C:\Windows\Explorer.EXE","52428800","2900","1365","51","20181118085850.543457-300"
"WIN81-01","svchost.exe","2400","524","C:\Windows\system32\svchost.exe","6094848","2400","240","10","20181118085859.934515-300"
"WIN81-01","TabTip.exe","2736","896","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","6922240","2736","278","13","20181118085905.122417-300"
"WIN81-01","vmtoolsd.exe","2068","2900","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","18182144","2068","256","5","20181118085915.560655-300"
"WIN81-01","Taskmgr.exe","1668","2900","C:\Windows\system32\taskmgr.exe","19329024","1668","359","16","20181118101304.842913-300"
"WIN81-01","powershell_ise.exe","3032","2900","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","850710528","3032","1046","43","20181118152103.585179-300"
"WIN81-01","audiodg.exe","3028","736",,"7454720","3028","133","2","20181118165033.329080-300"
"WIN81-01","WmiPrvSE.exe","984","592","C:\Windows\system32\wbem\wmiprvse.exe","5844992","984","138","6","20181118165423.324143-300"
"WIN81-01","SearchProtocolHost.exe","3228","1936","C:\Windows\system32\SearchProtocolHost.exe","6213632","3228","304","7","20181118165452.471255-300"
"WIN81-01","SearchFilterHost.exe","2244","1936","C:\Windows\system32\SearchFilterHost.exe","3612672","2244","106","4","20181118165452.738176-300"
"WIN81-01","powershell.exe","1672","3032","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","44769280","1672","424","9","20181118165537.888362-300"
"WIN81-01","conhost.exe","3040","1672","C:\Windows\system32\conhost.exe","3698688","3040","42","1","20181118165537.906542-300"
"WIN81-01","powershell.exe","3708","3032","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","44642304","3708","397","11","20181118165539.586021-300"
"WIN81-01","conhost.exe","3176","3708","C:\Windows\system32\conhost.exe","3698688","3176","42","1","20181118165539.824120-300"
"WIN81-01","powershell.exe","2200","3032","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","13205504","2200","228","5","20181118165540.959766-300"
"WIN81-01","conhost.exe","4088","2200","C:\Windows\system32\conhost.exe","3690496","4088","42","1","20181118165540.973635-300"
