"Name","OperatingSystem","CanonicalName","IPv4Address","MACAddress","Notes"
"MEGATRON","Windows Server 2012 R2 Datacenter","/Domain Controllers","10.13.14.81","No MAC Available","No Notes Available"
"KERBEROS","Windows Server 2012 R2 Standard","/Computers","No IP Available","No MAC Available","No Notes Available"
"PHOENIX","Windows 8.1 Pro","/Computers","10.13.14.80","No MAC Available","No Notes Available"
"SERVER2","Windows Server 2012 R2 Datacenter","/Computers","10.13.14.21","No MAC Available","No Notes Available"
"SERVER1","Windows Server 2012 R2 Datacenter","/Computers","10.13.14.71","No MAC Available","No Notes Available"
"SERVER3","Windows Server 2012 R2 Datacenter","/Computers","10.13.14.31","No MAC Available","No Notes Available"
"SERVER_CLUSTER","Windows Server 2012 R2 Datacenter","/Computers","10.13.14.1","No MAC Available","No Notes Available"
"Test_Comuter","Unknown OS","/Computers","No IP Available","No MAC Available","No Notes Available"
