"PSComputerName","State","Status","Started","StartMode","Name","DisplayName","PathName","ExitCode","AcceptPause","AcceptStop","Caption","CreationClassName","Description","DesktopInteract","ErrorControl","InstallDate","ServiceType"
"DELLWIN10","Stopped","OK","False","Manual","IRENUM","IR Bus Enumerator","C:\Windows\system32\drivers\irenum.sys","1077","False","False","IR Bus Enumerator","Win32_SystemDriver","IR Bus Enumerator","False","Ignore",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","isapnp","isapnp","C:\Windows\system32\drivers\isapnp.sys","1077","False","False","isapnp","Win32_SystemDriver","isapnp","False","Critical",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","iScsiPrt","iScsiPort Driver","C:\Windows\system32\drivers\msiscsi.sys","1077","False","False","iScsiPort Driver","Win32_SystemDriver","iScsiPort Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","ItSas35i","ItSas35i","C:\Windows\system32\drivers\ItSas35i.sys","1077","False","False","ItSas35i","Win32_SystemDriver","ItSas35i","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","kbdclass","Keyboard Class Driver","C:\Windows\system32\drivers\kbdclass.sys","0","False","True","Keyboard Class Driver","Win32_SystemDriver","Keyboard Class Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","kbdhid","Keyboard HID Driver","C:\Windows\system32\drivers\kbdhid.sys","1077","False","False","Keyboard HID Driver","Win32_SystemDriver","Keyboard HID Driver","False","Ignore",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","kdnic","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","C:\Windows\system32\drivers\kdnic.sys","0","False","True","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","Win32_SystemDriver","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","kmloop","Microsoft KM-TEST Loopback Adapter Driver","C:\Windows\system32\drivers\loop.sys","0","False","True","Microsoft KM-TEST Loopback Adapter Driver","Win32_SystemDriver","Microsoft KM-TEST Loopback Adapter Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","KSecDD","KSecDD","C:\Windows\system32\Drivers\ksecdd.sys","0","False","True","KSecDD","Win32_SystemDriver","KSecDD","False","Critical",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","KSecPkg","KSecPkg","C:\Windows\system32\Drivers\ksecpkg.sys","0","False","True","KSecPkg","Win32_SystemDriver","KSecPkg","False","Critical",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","ksthunk","Kernel Streaming Thunks","C:\Windows\system32\drivers\ksthunk.sys","0","False","True","Kernel Streaming Thunks","Win32_SystemDriver","Kernel Streaming Thunks","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","lltdio","Link-Layer Topology Discovery Mapper I/O Driver","C:\Windows\system32\drivers\lltdio.sys","0","False","True","Link-Layer Topology Discovery Mapper I/O Driver","Win32_SystemDriver","Link-Layer Topology Discovery Mapper I/O Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","LSI_SAS","LSI_SAS","C:\Windows\system32\drivers\lsi_sas.sys","1077","False","False","LSI_SAS","Win32_SystemDriver","LSI_SAS","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","LSI_SAS2i","LSI_SAS2i","C:\Windows\system32\drivers\lsi_sas2i.sys","1077","False","False","LSI_SAS2i","Win32_SystemDriver","LSI_SAS2i","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","LSI_SAS3i","LSI_SAS3i","C:\Windows\system32\drivers\lsi_sas3i.sys","1077","False","False","LSI_SAS3i","Win32_SystemDriver","LSI_SAS3i","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","LSI_SSS","LSI_SSS","C:\Windows\system32\drivers\lsi_sss.sys","1077","False","False","LSI_SSS","Win32_SystemDriver","LSI_SSS","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","luafv","UAC File Virtualization","C:\Windows\system32\drivers\luafv.sys","0","False","True","UAC File Virtualization","Win32_SystemDriver","UAC File Virtualization","False","Normal",,"File System Driver"
"DELLWIN10","Stopped","OK","False","Manual","mausbhost","MA-USB Host Controller Driver","C:\Windows\system32\drivers\mausbhost.sys","1077","False","False","MA-USB Host Controller Driver","Win32_SystemDriver","MA-USB Host Controller Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","mausbip","MA-USB IP Filter Driver","C:\Windows\system32\drivers\mausbip.sys","1077","False","False","MA-USB IP Filter Driver","Win32_SystemDriver","MA-USB IP Filter Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","megasas","megasas","C:\Windows\system32\drivers\megasas.sys","1077","False","False","megasas","Win32_SystemDriver","megasas","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","megasas2i","megasas2i","C:\Windows\system32\drivers\MegaSas2i.sys","1077","False","False","megasas2i","Win32_SystemDriver","megasas2i","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","megasas35i","megasas35i","C:\Windows\system32\drivers\megasas35i.sys","1077","False","False","megasas35i","Win32_SystemDriver","megasas35i","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","megasr","megasr","C:\Windows\system32\drivers\megasr.sys","1077","False","False","megasr","Win32_SystemDriver","megasr","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","MEIx64","Intel(R) Management Engine Interface ","C:\Windows\system32\drivers\TeeDriverW8x64.sys","0","False","True","Intel(R) Management Engine Interface ","Win32_SystemDriver","Intel(R) Management Engine Interface ","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","mlx4_bus","Mellanox ConnectX Bus Enumerator","C:\Windows\system32\drivers\mlx4_bus.sys","1077","False","False","Mellanox ConnectX Bus Enumerator","Win32_SystemDriver","Mellanox ConnectX Bus Enumerator","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","MMCSS","Multimedia Class Scheduler","C:\Windows\system32\drivers\mmcss.sys","0","False","True","Multimedia Class Scheduler","Win32_SystemDriver","Multimedia Class Scheduler","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","Modem","Modem","C:\Windows\system32\drivers\modem.sys","1077","False","False","Modem","Win32_SystemDriver","Modem","False","Ignore",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","monitor","Microsoft Monitor Class Function Driver Service","C:\Windows\system32\drivers\monitor.sys","0","False","True","Microsoft Monitor Class Function Driver Service","Win32_SystemDriver","Microsoft Monitor Class Function Driver Service","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","mouclass","Mouse Class Driver","C:\Windows\system32\drivers\mouclass.sys","0","False","True","Mouse Class Driver","Win32_SystemDriver","Mouse Class Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","mouhid","Mouse HID Driver","C:\Windows\system32\drivers\mouhid.sys","1077","False","False","Mouse HID Driver","Win32_SystemDriver","Mouse HID Driver","False","Ignore",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","mountmgr","Mount Point Manager","C:\Windows\system32\drivers\mountmgr.sys","0","False","True","Mount Point Manager","Win32_SystemDriver","Mount Point Manager","False","Critical",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","mpsdrv","Windows Defender Firewall Authorization Driver","C:\Windows\system32\drivers\mpsdrv.sys","0","False","True","Windows Defender Firewall Authorization Driver","Win32_SystemDriver","Windows Defender Firewall Authorization Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MRxDAV","WebDav Client Redirector Driver","C:\Windows\system32\drivers\mrxdav.sys","1077","False","False","WebDav Client Redirector Driver","Win32_SystemDriver","WebDav Client Redirector Driver","False","Normal",,"File System Driver"
"DELLWIN10","Running","OK","True","Manual","mrxsmb","SMB MiniRedirector Wrapper and Engine","C:\Windows\system32\DRIVERS\mrxsmb.sys","0","False","True","SMB MiniRedirector Wrapper and Engine","Win32_SystemDriver","SMB MiniRedirector Wrapper and Engine","False","Normal",,"File System Driver"
"DELLWIN10","Running","OK","True","Manual","mrxsmb20","SMB 2.0 MiniRedirector","C:\Windows\system32\DRIVERS\mrxsmb20.sys","0","False","True","SMB 2.0 MiniRedirector","Win32_SystemDriver","SMB 2.0 MiniRedirector","False","Normal",,"File System Driver"
"DELLWIN10","Stopped","OK","False","Manual","MsBridge","Microsoft MAC Bridge","C:\Windows\system32\drivers\bridge.sys","1077","False","False","Microsoft MAC Bridge","Win32_SystemDriver","Microsoft MAC Bridge","False","Normal",,"Kernel Driver"
