"PSComputerName","Name","HotFixID","Description","InstalledBy","InstalledOn"
"DELLWIN10","KB4100347","KB4100347","Update","NT AUTHORITY\SYSTEM","10/5/2018 12:00:00 AM"
"DELLWIN10","KB4287903","KB4287903","Security Update","","6/19/2018 12:00:00 AM"
"DELLWIN10","KB4456655","KB4456655","Update","NT AUTHORITY\SYSTEM","10/5/2018 12:00:00 AM"
"DELLWIN10","KB4462930","KB4462930","Update","NT AUTHORITY\SYSTEM","10/11/2018 12:00:00 AM"
"DELLWIN10","KB4465663","KB4465663","Security Update","NT AUTHORITY\SYSTEM","11/18/2018 12:00:00 AM"
"DELLWIN10","KB4467694","KB4467694","Security Update","NT AUTHORITY\SYSTEM","11/18/2018 12:00:00 AM"
"DELLWIN10","KB4471331","KB4471331","Security Update","NT AUTHORITY\SYSTEM","12/7/2018 12:00:00 AM"
"DELLWIN10","KB4477029","KB4477029","Security Update","NT AUTHORITY\SYSTEM","11/25/2018 12:00:00 AM"
"DELLWIN10","KB4467702","KB4467702","Security Update","NT AUTHORITY\SYSTEM","11/18/2018 12:00:00 AM"
