"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"DELLWIN10","Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026","Microsoft Corporation","14.0.23026","20181006",,,"C:\ProgramData\Package Cache\{A2563E55-3BEC-3828-8D67-E5E8B9E8B675}v14.0.23026\packages\vcRuntimeMinimum_x86\","vc_runtimeMinimum_x86.msi","C:\Windows\Installer\4f18187.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026","{A2563E55-3BEC-3828-8D67-E5E8B9E8B675}"
"DELLWIN10","Adobe Color JA Extra Settings","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeColorJA_ExtraSettingsAll\","AdobeColorJA_ExtraSettingsAll.msi","C:\Windows\Installer\12f733.msi",,,,,,"0","Adobe Color JA Extra Settings","{DD7DB3C5-6FA3-4FA3-8A71-C2F2940EB029}"
"DELLWIN10","Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","Microsoft Corporation","12.0.21005","20181006",,,"C:\ProgramData\Package Cache\{929FBD26-9020-399B-9A7A-751D61F0B942}v12.0.21005\packages\vcRuntimeAdditional_amd64\","vc_runtimeAdditional_x64.msi","C:\Windows\Installer\4f18182.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","{929FBD26-9020-399B-9A7A-751D61F0B942}"
"DELLWIN10","NordVPN network TAP","NordVPN","1.0.1","20181005",,"C:\Program Files (x86)\NordVPN network TAP\","C:\Users\Dan\AppData\Local\Temp\{97DEC5D6-2BE9-45BB-BFC5-274B851B486B}\","NordVPNTapSetup.msi","C:\Windows\Installer\4f1816e.msi",,,,,,"1033","NordVPN network TAP","{97DEC5D6-2BE9-45BB-BFC5-274B851B486B}"
"DELLWIN10","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","Microsoft Corporation","9.0.30729.6161","20181006",,,"c:\3daee2a08f5f689a3993bf02d76e\","vc_red.msi","c:\Windows\Installer\2a9afe.msi",,,,,,"1033","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","{9BE518E6-ECC6-35A9-88E4-87755C07200F}"
"DELLWIN10","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","Microsoft Corporation","12.0.21005","20181006",,,"C:\ProgramData\Package Cache\{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}v12.0.21005\packages\vcRuntimeMinimum_amd64\","vc_runtimeMinimum_x64.msi","C:\Windows\Installer\4f1817d.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}"
"DELLWIN10","Adobe Update Manager CS3","Adobe Systems Incorporated","5.1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeAUM5.1All\","AdobeAUM5.1All.msi","C:\Windows\Installer\12f76d.msi",,,,,,"0","Adobe Update Manager CS3","{E69AE897-9E0B-485C-8552-7841F48D42D8}"
"DELLWIN10","Adobe Stock Photos CS3","Adobe Systems Incorporated","1.5","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeStockPhotos1.5All\","AdobeStockPhotos1.5All.msi","C:\Windows\Installer\12f763.msi",,,,,,"0","Adobe Stock Photos CS3","{29E5EA97-5F74-4A57-B8B2-D4F169117183}"
"DELLWIN10","Advanced IP Scanner 2.3","Famatech","2.3.2161","20181006",,"C:\Program Files (x86)\Advanced IP Scanner\","C:\Users\Dan\AppData\Local\Temp\is-0L0SV.tmp\","ip_scan_en_us_Release.msi","C:\Windows\Installer\2a9b06.msi",,,,,,"1033","Advanced IP Scanner 2.3","{A02F51A7-1982-4B69-8BD3-7D2B86179752}"
"DELLWIN10","Adobe PDF Library Files","Adobe Systems Incorporated","8.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobePDFL8All\","AdobePDFL8All.msi","C:\Windows\Installer\12f75e.msi",,,,,,"0","Adobe PDF Library Files","{D2559B88-CC9D-4B48-81BB-F492BAA9C48C}"
