"Name","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"csrss","400","400",,"5/24/2020 9:51:05 PM","1404928",,"229","10",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"csrss","452","452",,"5/24/2020 9:51:06 PM","303104",,"90","9",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"dllhost","2780","2780","C:\Windows\system32\DllHost.exe","5/27/2020 1:14:23 PM","3702784","1664","97","6","Microsoft Corporation","Microsoft? Windows? Operating System","COM Surrogate","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"dwm","772","772","C:\Windows\system32\dwm.exe","5/24/2020 9:51:08 PM","1294336","1708","179","7","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"Idle","0","0",,,"4096",,"0","1",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"LogonUI","752","752","C:\Windows\system32\LogonUI.exe","5/24/2020 9:51:08 PM","10698752","1792","370","10","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"lsass","556","556","C:\Windows\system32\lsass.exe","5/24/2020 9:51:07 PM","5640192","1836","770","7","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"MsMpEng","1212","1212",,"5/24/2020 9:51:10 PM","34127872",,"506","15",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"SearchFilterHost","2312","2312","C:\Windows\system32\SearchFilterHost.exe","5/27/2020 1:12:14 PM","3985408","1920","92","1","Microsoft Corporation","Windows? Search","Microsoft Windows Search Filter Host","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"SearchIndexer","3016","3016","C:\Windows\system32\SearchIndexer.exe","5/24/2020 9:53:11 PM","11423744","1964","598","12","Microsoft Corporation","Windows? Search","Microsoft Windows Search Indexer","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"SearchProtocolHost","944","944","C:\Windows\system32\SearchProtocolHost.exe","5/27/2020 1:12:14 PM","6766592","2008","299","4","Microsoft Corporation","Windows? Search","Microsoft Windows Search Protocol Host","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"services","548","548",,"5/24/2020 9:51:06 PM","4771840",,"200","1",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"smss","312","312",,"5/24/2020 9:51:04 PM","192512",,"44","2",,,,"Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"csrss","396","396",,"5/24/2020 8:41:15 PM","1536000",,"223","9",,,,"Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"csrss","448","448",,"5/24/2020 8:41:15 PM","446464",,"91","9",,,,"Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"dllhost","2608","2608","C:\Windows\system32\DllHost.exe","5/27/2020 1:14:23 PM","3690496","1640","97","6","Microsoft Corporation","Microsoft? Windows? Operating System","COM Surrogate","Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"dwm","732","732","C:\Windows\system32\dwm.exe","5/24/2020 8:41:18 PM","3305472","1684","179","7","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"Idle","0","0",,,"4096",,"0","1",,,,"Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"LogonUI","724","724","C:\Windows\system32\LogonUI.exe","5/24/2020 8:41:18 PM","15581184","1768","371","10","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"spoolsv","1016","1016","C:\Windows\System32\spoolsv.exe","5/24/2020 9:51:09 PM","1601536","2136","340","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"lsass","552","552","C:\Windows\system32\lsass.exe","5/24/2020 8:41:16 PM","6885376","1812","756","7","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
"svchost","392","392","C:\Windows\system32\svchost.exe","5/24/2020 9:51:09 PM","10145792","2180","475","21","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","fb6adbf1-dfc4-40eb-8cd1-49dc5fbf193c","True"
"MsMpEng","1228","1228",,"5/24/2020 8:41:26 PM","41394176",,"491","15",,,,"Win81-08","fe084130-9d9e-4f06-826e-5d24975160aa","True"
