LogName
Application
Security
System
Microsoft-Windows-Sysmon/Operational
AMSI/Debug
ASUSScreenXpert
AirSpaceChannel
Analytic
DirectShowFilterGraph
DirectShowPluginControl
Els_Hyphenation/Analytic
EndpointMapper
FirstUXPerf-Analytic
ForwardedEvents
General Logging
HardwareEvents
IHM_DebugChannel
Intel-GFX-Info/Application
Intel-GFX-Info/System
Intel-SST-BUS/Debug
Intel-SST-OED/IntcOED_ETW_Debug
Intel-iaLPSS-GPIO/Analytic
Intel-iaLPSS-I2C/Analytic
Intel-iaLPSS2-GPIO2/Debug
Intel-iaLPSS2-GPIO2/Performance
Intel-iaLPSS2-I2C/Debug
Intel-iaLPSS2-I2C/Performance
Intel-iaLPSS2-SPI/Debug
Intel-iaLPSS2-SPI/Performance
Intel-iaLPSS2-UART2/Analytic
IntelAudioServiceLog
Internet Explorer
Key Management Service
MF_MediaFoundationDeviceMFT
MF_MediaFoundationDeviceProxy
MF_MediaFoundationFrameServer
MedaFoundationVideoProc
MedaFoundationVideoProcD3D
MediaFoundationAsyncWrapper
MediaFoundationContentProtection
MediaFoundationDS
MediaFoundationDeviceProxy
MediaFoundationMP4
MediaFoundationMediaEngine
MediaFoundationPerformance
MediaFoundationPerformanceCore
MediaFoundationPipeline
MediaFoundationPlatform
MediaFoundationSrcPrefetch
Microsoft-AppV-Client-Streamingux/Debug
Microsoft-AppV-Client/Admin
Microsoft-AppV-Client/Debug
Microsoft-AppV-Client/Operational
Microsoft-AppV-Client/Virtual Applications
Microsoft-AppV-SharedPerformance/Analytic
Microsoft-Client-Licensing-Platform/Admin
Microsoft-Client-Licensing-Platform/Debug
Microsoft-Client-Licensing-Platform/Diagnostic
Microsoft-IE/Diagnostic
Microsoft-IEFRAME/Diagnostic
Microsoft-JSDumpHeap/Diagnostic
Microsoft-OneCore-Setup/Analytic
Microsoft-Pef-WFP-MessageProvider/Diagnostic
Microsoft-Pef-WebProxy/Analytic
Microsoft-PerfTrack-IEFRAME/Diagnostic
Microsoft-PerfTrack-MSHTML/Diagnostic
Microsoft-User Experience Virtualization-Admin/Debug
Microsoft-User Experience Virtualization-Agent Driver/Debug
Microsoft-User Experience Virtualization-Agent Driver/Operational
Microsoft-User Experience Virtualization-App Agent/Analytic
Microsoft-User Experience Virtualization-App Agent/Debug
Microsoft-User Experience Virtualization-App Agent/Operational
Microsoft-User Experience Virtualization-IPC/Operational
Microsoft-User Experience Virtualization-SQM Uploader/Analytic
Microsoft-User Experience Virtualization-SQM Uploader/Debug
Microsoft-User Experience Virtualization-SQM Uploader/Operational
Microsoft-Windows-AAD/Analytic
Microsoft-Windows-AAD/Operational
Microsoft-Windows-ADSI/Debug
Microsoft-Windows-ASN1/Operational
Microsoft-Windows-ATAPort/General
Microsoft-Windows-ATAPort/SATA-LPM
Microsoft-Windows-ActionQueue/Analytic
Microsoft-Windows-All-User-Install-Agent/Admin
Microsoft-Windows-AllJoyn/Debug
Microsoft-Windows-AllJoyn/Operational
Microsoft-Windows-AppHost/Admin
Microsoft-Windows-AppHost/ApplicationTracing
Microsoft-Windows-AppHost/Diagnostic
Microsoft-Windows-AppHost/Internal
Microsoft-Windows-AppID/Operational
Microsoft-Windows-AppLocker/EXE and DLL
Microsoft-Windows-AppLocker/MSI and Script
Microsoft-Windows-AppLocker/Packaged app-Deployment
Microsoft-Windows-AppLocker/Packaged app-Execution
Microsoft-Windows-AppModel-Runtime/Admin
Microsoft-Windows-AppModel-Runtime/Analytic
Microsoft-Windows-AppModel-Runtime/Debug
Microsoft-Windows-AppModel-Runtime/Diagnostics
Microsoft-Windows-AppModel-State/Debug
Microsoft-Windows-AppModel-State/Diagnostic
Microsoft-Windows-AppReadiness/Admin
Microsoft-Windows-AppReadiness/Debug
Microsoft-Windows-AppReadiness/Operational
Microsoft-Windows-AppSruProv
Microsoft-Windows-AppXDeployment/Diagnostic
Microsoft-Windows-AppXDeployment/Operational
Microsoft-Windows-AppXDeploymentServer/Debug
Microsoft-Windows-AppXDeploymentServer/Diagnostic
Microsoft-Windows-AppXDeploymentServer/Operational
Microsoft-Windows-AppXDeploymentServer/Restricted
Microsoft-Windows-ApplicabilityEngine/Analytic
Microsoft-Windows-ApplicabilityEngine/Operational
Microsoft-Windows-Application Server-Applications/Admin
Microsoft-Windows-Application Server-Applications/Analytic
Microsoft-Windows-Application Server-Applications/Debug
Microsoft-Windows-Application Server-Applications/Operational
Microsoft-Windows-Application-Experience/Compatibility-Infrastructure-Debug
Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant
Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant/Analytic
Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant/Trace
Microsoft-Windows-Application-Experience/Program-Compatibility-Troubleshooter
Microsoft-Windows-Application-Experience/Program-Inventory
Microsoft-Windows-Application-Experience/Program-Telemetry
Microsoft-Windows-Application-Experience/Steps-Recorder
Microsoft-Windows-AppxPackaging/Debug
Microsoft-Windows-AppxPackaging/Operational
Microsoft-Windows-AppxPackaging/Performance
Microsoft-Windows-AssignedAccess/Admin
Microsoft-Windows-AssignedAccess/Operational
Microsoft-Windows-AssignedAccessBroker/Admin
Microsoft-Windows-AssignedAccessBroker/Operational
Microsoft-Windows-AsynchronousCausality/Causality
Microsoft-Windows-Audio/CaptureMonitor
Microsoft-Windows-Audio/GlitchDetection
Microsoft-Windows-Audio/Informational
Microsoft-Windows-Audio/Operational
Microsoft-Windows-Audio/Performance
Microsoft-Windows-Audio/PlaybackManager
Microsoft-Windows-Audit/Analytic
Microsoft-Windows-Authentication User Interface/Operational
Microsoft-Windows-Authentication/AuthenticationPolicyFailures-DomainController
Microsoft-Windows-Authentication/ProtectedUser-Client
Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController
Microsoft-Windows-Authentication/ProtectedUserSuccesses-DomainController
Microsoft-Windows-AxInstallService/Log
Microsoft-Windows-BTH-BTHPORT/HCI
Microsoft-Windows-BTH-BTHPORT/L2CAP
Microsoft-Windows-BTH-BTHUSB/Diagnostic
Microsoft-Windows-BTH-BTHUSB/Performance
Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic
Microsoft-Windows-BackgroundTaskInfrastructure/Operational
Microsoft-Windows-BackgroundTransfer-ContentPrefetcher/Operational
Microsoft-Windows-Backup
Microsoft-Windows-Base-Filtering-Engine-Connections/Operational
Microsoft-Windows-Base-Filtering-Engine-Resource-Flows/Operational
Microsoft-Windows-Battery/Diagnostic
Microsoft-Windows-Biometrics/Analytic
Microsoft-Windows-Biometrics/Operational
Microsoft-Windows-BitLocker-DrivePreparationTool/Admin
Microsoft-Windows-BitLocker-DrivePreparationTool/Operational
