"Status","Endpoint","Port","Description"
"LightGreen","127.0.0.1","135","RPC"
"LightGreen","127.0.0.1","445","SMB"
"Red","127.0.0.1","4444","Metasploit"
"LightGreen","Megatron","135","RPC"
"LightGreen","Megatron","3389","RDP"
"LightGreen","Megatron","445","SMB"
"LightGreen","Megatron","53","DNS"
"LightGreen","Megatron","88","kerberos"
"LightGreen","Megatron","636","ldap"
"LightGreen","10.13.14.70","135","RPC"
"LightGreen","10.13.14.70","139","SMB"
"LightGreen","10.13.14.70","3389","RDP"
