"ComputerName","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","672","672","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:13 AM","5373952","2344","108","7","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","1452","1452","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:15 AM","13438976","2456","197","6","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","1924","1924","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:15 AM","56676352","2496","297","12","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","2648","2648","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:15 AM","20533248","2536","253","10","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","3008","3008","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:12 AM","75079680","2576","948","26","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","3852","3852","C:\Program Files\Google\Chrome\Application\chrome.exe","3/3/2021 12:19:15 AM","41590784","2616","341","8","Google LLC","Google Chrome","Google Chrome","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","504","504",,"3/2/2021 12:39:00 AM","1429504",,"386","9",,,,"localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","580","580",,"3/2/2021 12:39:00 AM","147456",,"167","10",,,,"localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","976","976","C:\Windows\system32\dwm.exe","3/2/2021 12:39:01 AM","2031616","2732","682","15","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
"WIN10-01","2376","2376","C:\Program Files (x86)\FileZilla Server\FileZilla Server.exe","3/2/2021 12:39:06 AM","1863680","2776","138","7","FileZilla Project","FileZilla Server","FileZilla Server","localhost","86febb5a-5584-45a7-9412-15de3201cd56","False"
