"ComputerName","Name","ProcessID","ParentProcessName","ParentProcessID","ServiceInfo","StartTime","Duration","CPU","TotalProcessorTime","NetworkConnections","NetworkConnectionCount","CommandLine","Path","WorkingSet","MemoryUsage","MD5Hash","SignerCertificate","StatusMessage","SignerCompany","Company","Product","ProductVersion","Description","Modules","ModuleCount","Threads","ThreadCount","Handle","Handles","HandleCount","Owner","OwnerSID","PSShowComputerName","PSComputerName","RunspaceId"
"DC01","Idle","0","Idle","0","AeLookupSvc [Manual Start By localSystem]
",,,,,,"0",,,"24576","24 KB",,,,,,,,,,"0","0","1",,"0","0",,,"True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","System","4","Idle","0",,"3/2/2021 12:38:53 AM","23:40:46.3961946","3.0625","00:00:03.0625000","[LISTENING] 0.0.0.0;80 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;445 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;5985 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;47001 <--> 0.0.0.0;0 []
[LISTENING] 10.10.10.10;139 <--> 0.0.0.0;0 []
[ESTABLISHED] 10.10.10.10;5985 <--> 10.10.10.100;58660 []
[ESTABLISHED] 10.10.10.10;5985 <--> 10.10.10.100;58661 []
[ESTABLISHED] 10.10.10.10;5985 <--> 10.10.10.100;58662 []","8",,,"204800","200 KB",,,,,,,,,,"0","8,12,16,20,24,28,32,36,40,44,48,52,56,64,68,72,76,84,88,92,96,104,108,112,116,120,124,132,156,160,164,168,172,176,180,184,188,192,196,200,204,208,212,216,220,224,228,236,244,248,264,280,284,328,332,360,364,368,372,456,780,908,1016,1160,1164,1168,1172,1252,1256,1260,1504,1508,1512,1692,2724,528,492,1832,2500,2188,2728,1592,2800,2496,2368,2540,1792,1100,1124,2308,600,340,2272,1040,240,1312,1820,1968,1232,2008,1752,604","102",,"621","621",,,"True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","smss","252","System","4",,"3/2/2021 12:38:53 AM","23:40:46.3805827","0.015625","00:00:00.0156250",,"0",,,"303104","296 KB",,,,,,,,,,"0","256,260","2",,"52","52","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","csrss","348",,"340",,"3/2/2021 12:38:53 AM","23:40:45.8599249","0.078125","00:00:00.0781250",,"0",,,"872448","852 KB",,,,,,,,,,"0","376,380,384,388,448,472,480,748,2184","9",,"205","205","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","csrss","400",,"392",,"3/2/2021 12:38:53 AM","23:40:45.5844617","0.015625","00:00:00.0156250",,"0",,,"249856","244 KB",,,,,,,,,,"0","416,420,424,428,432,444,476,484,728","9",,"89","89","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","wininit","408",,"340",,"3/2/2021 12:38:53 AM","23:40:45.5784891","0.03125","00:00:00.0312500","[LISTENING] 0.0.0.0;49152 <--> 0.0.0.0;0 []","1","wininit.exe","C:\Windows\system32\wininit.exe","331776","324 KB","64BE1AFD9F55C2BD636914D1F808AD209C68BF97AA3D0B73568C2C1E48BE2800",,"NotSigned",,"Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Start-Up Application","wininit.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll RPCRT4.dll sechost.dll profapi.dll wininitext.dll USER32.dll GDI32.dll WS2_32.dll NSI.dll mswsock.dll sspicli.dll","15","412","1","5612","80","80","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","winlogon","436",,"392",,"3/2/2021 12:38:53 AM","23:40:45.5595782","0.015625","00:00:00.0156250",,"0","winlogon.exe","C:\Windows\system32\winlogon.exe","344064","336 KB","71486B77FE0D3A97D2C2DCC527AC1EB44C9155601403C9E79F9854DB58CA8F68",,"NotSigned",,"Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Logon Application","winlogon.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll advapi32.dll sechost.dll powrprof.dll RPCRT4.dll winlogonext.dll USER32.dll GDI32.dll IMM32.DLL MSCTF.dll profapi.dll winsta.dll uxinit.dll UxTheme.dll combase.dll CRYPT32.dll MSASN1.dll DPAPI.dll CRYPTBASE.dll bcryptPrimitives.dll SspiCli.dll apphelp.dll","26","440,804","2","5896","121","121","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","services","496","wininit","408",,"3/2/2021 12:38:54 AM","23:40:45.3990118","0.734375","00:00:00.7343750","[LISTENING] 0.0.0.0;49167 <--> 0.0.0.0;0 []","1",,,"3575808","3.41 MB",,,,,,,,,,"0","552,652,556,2780,2988","5",,"270","270","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","lsass","504","wininit","408","Kdc [Auto Start By LocalSystem]
","3/2/2021 12:38:54 AM","23:40:45.3521370","26.15625","00:00:26.1562500","[LISTENING] 0.0.0.0;88 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;389 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;464 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;636 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;3268 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;3269 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;49155 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;49157 <--> 0.0.0.0;0 []
[LISTENING] 0.0.0.0;49158 <--> 0.0.0.0;0 []
[ESTABLISHED] 10.10.10.10;389 <--> 10.10.10.10;59902 []
[ESTABLISHED] 10.10.10.10;389 <--> 10.10.10.10;59909 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;49161 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;49163 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;59919 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;61777 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;61780 []
[ESTABLISHED] 127.0.0.1;389 <--> 127.0.0.1;61787 []","17","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","33148928","31.61 MB","8E862D41F4332EABF64BD034E2C0E3CC8109C7990CB4112C2B2880E8E6EDF2D3","9C4F3BDB96A8F46DB59EDBB7A65CC090841236AA","Valid","Microsoft Windows Publisher","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Local Security Authority Process","lsass.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll RPCRT4.dll SspiSrv.dll lsasrv.dll msvcrt.dll SspiCli.dll sechost.dll cfgmgr32.dll MSASN1.dll samsrv.dll bcrypt.dll ncrypt.dll NTASN1.dll lsadb.dll DSPARSE.dll ADVAPI32.dll CRYPTBASE.DLL bcryptPrimitives.dll msprivs.DLL netjoin.dll negoexts.DLL cryptdll.dll kerberos.DLL CRYPTSP.dll WS2_32.dll NSI.dll mswsock.dll msv1_0.DLL netlogon.DLL DNSAPI.dll logoncli.dll powrprof.dll USERENV.dll profapi.dll tspkg.DLL pku2u.DLL wdigest.DLL rsaenh.dll schannel.DLL CRYPT32.dll efslsaext.dll dpapisrv.dll ntdsa.dll bcd.dll winsta.dll ntdsai.dll AUTHZ.dll IPHLPAPI.DLL WLDAP32.dll NTDSKCC.dll ntdsbsrv.dll NTDSAPI.dll NTDSATQ.dll ESENT.dll VERSION.dll KdsCli.dll DSROLESRV.dll SYSNTFY.dll WINNSI.DLL W32TOPL.dll VSSAPI.DLL wevtapi.dll OLEAUT32.dll combase.dll WDSCORE.dll VssTrace.DLL DSROLE.dll ntdsmsg.dll netutils.dll KDCPW.DLL rassfm.DLL scecli.DLL wkscli.dll kdcsvc.dll rasadhlp.dll fwpuclnt.dll dssenh.dll ole32.dll GDI32.dll USER32.dll kernel.appcore.dll samcli.dll SAMLIB.dll clbcatq.dll es.dll PROPSYS.dll pwdssp.dll RpcRtRemote.dll rpchttp.dll Secur32.dll pcwum.dll WINBRAND.dll srvcli.dll cscapi.dll gpapi.dll dhcpcsvc6.DLL dhcpcsvc.DLL certpoleng.dll ncryptsslp.dll ncryptprov.dll","103","512,516,520,560,564,576,580,588,592,596,608,612,616,624,784,1080,1084,1088,1140,1144,1176,1608,2112,568,1964,2152,2508","27","3728","1301","1301","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
"DC01","svchost","632","services","496","BrokerInfrastructure [Auto Start By LocalSystem]
","3/2/2021 12:38:56 AM","23:40:42.9621559","0.140625","00:00:00.1406250",,"0","C:\Windows\system32\svchost.exe -k DcomLaunch","C:\Windows\system32\svchost.exe","3399680","3.24 MB","99E7587D1744BF62086FEB06A778CF3966199F1CC2DFB91FDA53A9166A2A3AEC","9C4F3BDB96A8F46DB59EDBB7A65CC090841236AA","Valid","Microsoft Windows Publisher","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll umpnpmgr.dll msvcrt.dll umpo.dll umpoext.dll cfgmgr32.dll powrprof.dll pcwum.dll HID.DLL gpapi.dll rpcss.dll combase.dll SspiCli.dll lsm.dll SYSNTFY.dll WMsgAPI.dll bisrv.dll OLEAUT32.dll psmsrv.dll CRYPTBASE.dll bcryptPrimitives.dll Userenv.dll profapi.dll DEVOBJ.dll systemeventsbrokerserver.dll kernel.appcore.dll bi.dll DAB.dll user32.dll GDI32.dll clbcatq.dll CRYPTSP.dll rsaenh.dll bcrypt.dll ADVAPI32.dll wtsapi32.dll WINSTA.dll lsmproxy.dll","43","636,640,660,664,744,2576,1828","7","4684","338","338","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","d101e221-ea3d-443f-95ec-2c7aec1fb1dd"
