"ComputerName","Status","Name","DisplayName","RequiredServices","StartType","CanPauseAndContinue","CanShutdown","CanStop","ServiceHandle","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","Stopped","DeviceInstall","Device Install Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","DevQueryBroker","DevQuery Background Discovery Broker","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","Dhcp","DHCP Client","Afd NSI","Automatic","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","diagsvc","Diagnostic Execution Service","RpcSs","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","DiagTrack","Connected User Experiences and Telemetry","RpcSs","Automatic","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","DispBrokerDesktopSvc","Display Policy Service","RpcSS","Automatic","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","DisplayEnhancementService","Display Enhancement Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","DmEnrollmentSvc","Device Management Enrollment Service","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","Dnscache","DNS Client","nsi Afd","Automatic","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","DoSvc","Delivery Optimization","rpcss","Automatic","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","dot3svc","Wired AutoConfig","RpcSs Eaphost Ndisuio","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
