"ComputerName","Name","ProcessID","ParentProcessName","ParentProcessID","ServiceInfo","StartTime","Duration","CPU","TotalProcessorTime","NetworkConnections","NetworkConnectionCount","CommandLine","Path","WorkingSet","MemoryUsage","MD5Hash","SignerCertificate","StatusMessage","SignerCompany","Company","Product","ProductVersion","Description","Modules","ModuleCount","Threads","ThreadCount","Handle","Handles","HandleCount","Owner","OwnerSID","PSShowComputerName","PSComputerName","RunspaceId"
"WIN10-01","svchost","2296","services","632","DiagTrack [Auto Start By LocalSystem]
","3/3/2021 10:41:45 AM","00:06:59.1768517","0.765625","00:00:00.7656250",,"0","C:\Windows\System32\svchost.exe -k utcsvc -p","C:\Windows\System32\svchost.exe","17137664","16.34 MB","643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.1","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll ucrtbase.dll combase.dll kernel.appcore.dll msvcrt.dll bcryptPrimitives.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll diagtrack.dll advapi32.dll IPHLPAPI.DLL WLDP.DLL UMPDC.dll rmclient.dll shcore.dll wkscli.dll netutils.dll powrprof.dll bcrypt.dll dbghelp.dll dbgcore.DLL usermgrcli.dll policymanager.dll msvcp110_win.dll OLEAUT32.dll winsqlite3.dll Netapi32.dll DSREG.DLL cryptsp.dll CRYPT32.dll profapi.dll CRYPTBASE.DLL clbcatq.dll FlightSettings.dll twinapi.appcore.dll USERENV.dll SspiCli.dll WINHTTP.dll Windows.Security.Authentication.OnlineId.dll WS2_32.dll mswsock.dll wshhyperv.dll WindowsPerformanceRecorderControl.dll XmlLite.dll aepic.dll ntmarta.dll taskschd.dll WINNSI.DLL NSI.dll dhcpcsvc6.DLL dhcpcsvc.DLL webio.dll DNSAPI.dll rasadhlp.dll cfgmgr32.dll drvstore.dll","64","2300,2700,2716,2720,2724,2728,2732,2736,2752,2756,2844,2852,412","13","4708","454","454","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","FileZilla Server","2352","services","632","FileZilla Server [Auto Start By LocalSystem]
","3/3/2021 10:41:45 AM","00:06:59.1196574","0.15625","00:00:00.1562500","[Listen] ::1;14147 <--> ::;0 [03/03/2021 07:41:45]
[Listen] ::;21 <--> ::;0 [03/03/2021 07:41:45]
[Listen] 127.0.0.1;14147 <--> 0.0.0.0;0 [03/03/2021 07:41:45]
[Listen] 0.0.0.0;21 <--> 0.0.0.0;0 [03/03/2021 07:41:45]","4","""C:\Program Files (x86)\FileZilla Server\FileZilla Server.exe""","C:\Program Files (x86)\FileZilla Server\FileZilla Server.exe","6619136","6.31 MB","EEBCC1D79679BB23F1D8C8F7FA1DD07FE2A0DE0444FC7985D29803C51B61FF3A","6791D3709B9D59294FE973B6319D896094E5FC20","Valid","Tim Kosse","FileZilla Project","FileZilla Server","0, 9, 60, 0","FileZilla Server","FileZilla Server.exe ntdll.dll wow64.dll wow64win.dll wow64cpu.dll","5","2356,2560,2612,2632,2652,2656,2672","7","7424","138","138","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","WmiPrvSE","2420","svchost","792",,"3/3/2021 10:41:45 AM","00:06:59.0366214","0.046875","00:00:00.0468750",,"0","C:\Windows\system32\wbem\wmiprvse.exe","C:\Windows\system32\wbem\wmiprvse.exe","6111232","5.83 MB","2198A7B58BCCB758036B969DDAE6CC2ECE07565E2659A7C541A313A0492231A3","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.546","WMI Provider Host","wmiprvse.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll FastProx.dll combase.dll ucrtbase.dll RPCRT4.dll NCObjAPI.DLL wbemcomn.dll advapi32.dll sechost.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll kernel.appcore.dll bcryptPrimitives.dll clbcatq.dll OLEAUT32.dll wbemsvc.dll wmiutils.dll wmiprov.dll ntmarta.dll esscli.dll WMICLNT.dll bcrypt.dll","29","2424,2568,2628,1060,3328,1576","6","11488","183","183","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","MsMpEng","2452","services","632","WinDefend [Auto Start By LocalSystem]
","3/3/2021 10:41:45 AM","00:06:59.0046739","5.03125","00:00:05.0312500",,"0",,,"106651648","101.71 MB",,,,,,,,,,"0","2456,2524,2616,2660,2676,2952,3020,3024,3028,3032,3036,3040,3044,3048,3052,3056,2920,3380,3960,3976,1292,3548,1640,3684","24",,"573","573","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","svchost","2976","services","632","AppXSvc [Manual Start By LocalSystem]
","3/3/2021 10:41:47 AM","00:06:56.3542262","0.640625","00:00:00.6406250",,"0",,,"9920512","9.46 MB",,,,,,,,,,"0","2980,2032,4084,384,1632,1824,1928,1956,1952,2084,2088,2240,2340,2404,2464,2480,3944,2984,3948,1908,3076,2940,4004,3244,3984,3988,3580","27",,"202","202","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","NisSrv","3060","services","632","WdNisSvc [Manual Start By NT AUTHORITY\LocalService]
","3/3/2021 10:41:48 AM","00:06:56.1613730","0.03125","00:00:00.0312500",,"0",,,"6696960","6.39 MB",,,,,,,,,,"0","3064,2060,1444,2148","4",,"176","176","NT AUTHORITY\LOCAL SERVICE","S-1-5-19","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","svchost","3212","services","632","RmSvc [Manual Start By NT AUTHORITY\LocalService]
","3/3/2021 10:41:49 AM","00:06:54.4354982","0","00:00:00",,"0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","C:\Windows\System32\svchost.exe","5730304","5.46 MB","643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.1","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll ucrtbase.dll combase.dll kernel.appcore.dll msvcrt.dll bcryptPrimitives.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll rmapi.dll OLEAUT32.dll DEVOBJ.dll cfgmgr32.dll HID.DLL WLDP.DLL advapi32.dll clbcatq.dll OneCoreCommonProxyStub.dll WwanRadioManager.dll IPHLPAPI.DLL wwapi.dll XboxGipRadioManager.dll OLE32.dll NfcRadioMedia.dll WlanRadioManager.dll wlanapi.dll profapi.dll BthRadioMedia.dll bluetoothapis.dll","36","3216,3236,3272,3276,3280","5","8220","202","202","NT AUTHORITY\LOCAL SERVICE","S-1-5-19","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","svchost","3704","services","632","FDResPub [Manual Start By NT AUTHORITY\LocalService]
","3/3/2021 10:41:52 AM","00:06:51.5034425","0.046875","00:00:00.0468750",,"0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","7442432","7.1 MB","643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.1","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll ucrtbase.dll combase.dll kernel.appcore.dll msvcrt.dll bcryptPrimitives.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll fdrespub.dll wsdapi.dll WS2_32.dll NSI.dll IPHLPAPI.DLL webservices.dll FirewallAPI.dll DNSAPI.dll fwbase.dll WLDP.DLL advapi32.dll clbcatq.dll FunDisc.dll dhcpcsvc6.DLL dhcpcsvc.DLL mswsock.dll WINNSI.DLL powrprof.dll UMPDC.dll WINHTTP.dll HTTPAPI.dll wkscli.dll netutils.dll XmlLite.dll CRYPTSP.dll rsaenh.dll bcrypt.dll CRYPTBASE.dll ssdpsrv.dll sspicli.dll","46","3708,3720,3728,3756,3760,2368,2160,2928,3940","9","6440","341","341","NT AUTHORITY\LOCAL SERVICE","S-1-5-19","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","svchost","3560","services","632","StateRepository [Manual Start By LocalSystem]
","3/3/2021 10:43:46 AM","00:04:57.9662307","0.625","00:00:00.6250000",,"0","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","14372864","13.71 MB","643EC58E82E0272C97C2A59F6020970D881AF19C0AD5029DB9C958C13B6558C7","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.1","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll ucrtbase.dll combase.dll kernel.appcore.dll msvcrt.dll bcryptPrimitives.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll windows.staterepository.dll advapi32.dll StateRepository.Core.dll WLDP.DLL windows.staterepositorycore.dll clbcatq.dll Windows.StateRepositoryPS.dll","23","3604,2620","2","3380","130","130","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","GoogleUpdate","3904",,"3452",,"3/3/2021 10:43:47 AM","00:04:56.4041233","0.015625","00:00:00.0156250",,"0","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /c","C:\Program Files (x86)\Google\Update\GoogleUpdate.exe","77824","76 KB","07034876B9EC0B59432B96FEDB7E10E332440159F9802FAAD5F5B99F01885F6B","A3958AE522F3C54B878B20D7B0F63711E08666B2","Valid","Google LLC","Google LLC","Google Update","1.3.36.51","Google Installer","GoogleUpdate.exe ntdll.dll wow64.dll wow64win.dll wow64cpu.dll","5","1892,2332,2016","3","4504","218","218","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
