"PSComputerName","Name","ProcessId","ParentProcessId","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate","Description"
"PHOENIX","explorer","3408","4580","C:\Windows\Explorer.EXE","172204032","3408","2017","80",,"explorer.exe"
"PHOENIX","SearchIndexer","5032","712","C:\Windows\system32\SearchIndexer.exe","44449792","5032","949","17",,"SearchIndexer.exe"
"PHOENIX","TabTip","2880","888","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","11202560","2880","302","13",,"TabTip.exe"
"PHOENIX","TabTip32","5152","2880","C:\Program Files (x86)\Common Files\Microsoft Shared\Ink\TabTip32.exe","3276800","5152","43","1",,"TabTip32.exe"
"PHOENIX","crashpad_handler","5248","3408","C:\Program Files\Google\Drive File Stream\35.0.13.0\crashpad_handler.exe","4153344","5248","67","6",,"crashpad_handler.exe"
"PHOENIX","XBoxStat","5720","3408","C:\Program Files\Microsoft Xbox 360 Accessories\XBoxStat.exe","9682944","5720","154","3",,"XBoxStat.exe"
"PHOENIX","LCore","5824","3408","C:\Program Files\Logitech Gaming Software\LCore.exe","60194816","5824","253","11",,"LCore.exe"
"PHOENIX","LCDPictureViewer","5968","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDPictureViewer.exe","10670080","5968","117","7",,"LCDPictureViewer.exe"
"PHOENIX","LCDMovieViewer","5976","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDMovieViewer.exe","10100736","5976","123","6",,"LCDMovieViewer.exe"
"PHOENIX","LCDClock","5988","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDClock.exe","13242368","5988","114","6",,"LCDClock.exe"
"PHOENIX","LCDYT","6008","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDYT.exe","19070976","6008","305","15",,"LCDYT.exe"
"PHOENIX","LCDMedia","6024","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDMedia.exe","10969088","6024","165","5",,"LCDMedia.exe"
"PHOENIX","LCDCountdown","6060","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDCountdown.exe","11001856","6060","110","5",,"LCDCountdown.exe"
"PHOENIX","LCDPOP3","6076","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDPop3.exe","10670080","6076","131","4",,"LCDPOP3.exe"
"PHOENIX","LCDWebCam","6120","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDWebCam.exe","10424320","6120","143","4",,"LCDWebCam.exe"
"PHOENIX","LCDRSS","5180","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDRSS.exe","15822848","5180","233","6",,"LCDRSS.exe"
"PHOENIX","acevents","5316","3408","C:\Program Files\ActivIdentity\ActivClient\acevents.exe","10956800","5316","189","5",,"acevents.exe"
"PHOENIX","accrdsub","5388","3408","C:\Program Files\ActivIdentity\ActivClient\accrdsub.exe","12058624","5388","249","10",,"accrdsub.exe"
"PHOENIX","AnyDVDtray","5628","3408","C:\Program Files (x86)\SlySoft\AnyDVD\AnyDVDtray.exe","31248384","5628","376","5",,"AnyDVDtray.exe"
"PHOENIX","ADvdDiscHlp64","5348","5628","C:\Program Files (x86)\SlySoft\AnyDVD\ADvdDiscHlp64.exe","4354048","5348","58","1",,"ADvdDiscHlp64.exe"
"PHOENIX","conhost","5636","5348","C:\Windows\system32\conhost.exe","3547136","5636","45","1",,"conhost.exe"
"PHOENIX","SbieCtrl","5424","3408","C:\Program Files\Sandboxie\SbieCtrl.exe","12120064","5424","157","4",,"SbieCtrl.exe"
"PHOENIX","GoogleDriveFS","1216","3408","C:\Program Files\Google\Drive File Stream\35.0.13.0\GoogleDriveFS.exe","16855040","1216","142","2",,"GoogleDriveFS.exe"
"PHOENIX","crashpad_handler","5804","1216","C:\Program Files\Google\Drive File Stream\35.0.13.0\crashpad_handler.exe","4734976","5804","75","6",,"crashpad_handler.exe"
"PHOENIX","GoogleDriveFS","5764","1216","C:\Program Files\Google\Drive File Stream\35.0.13.0\GoogleDriveFS.exe","83046400","5764","689","78",,"GoogleDriveFS.exe"
"PHOENIX","GoogleDriveFS","6196","5764","C:\Program Files\Google\Drive File Stream\35.0.13.0\GoogleDriveFS.exe","38932480","6196","332","12",,"GoogleDriveFS.exe"
"PHOENIX","PrintScreen","6212","3408","C:\Program Files (x86)\Gadwin Systems\PrintScreen\PrintScreen.exe","7168000","6212","118","3",,"PrintScreen.exe"
"PHOENIX","splwow64","6244","6212","C:\Windows\splwow64.exe","8376320","6244","134","4",,"splwow64.exe"
"PHOENIX","GoogleDriveFS","6368","5764","C:\Program Files\Google\Drive File Stream\35.0.13.0\GoogleDriveFS.exe","64008192","6368","345","15",,"GoogleDriveFS.exe"
"PHOENIX","googledrivesync","6716","3408","C:\Program Files\Google\Drive\googledrivesync.exe","3166208","6716","26","1",,"googledrivesync.exe"
"PHOENIX","googledrivesync","4648","6716","C:\Program Files\Google\Drive\googledrivesync.exe","194179072","4648","876","42",,"googledrivesync.exe"
"PHOENIX","acsagent","6800","3408","C:\Program Files\ActivIdentity\ActivClient\acsagent.exe","12537856","6800","230","8",,"acsagent.exe"
"PHOENIX","MOM","6872","6812","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\MOM.exe","8986624","6872","420","14",,"MOM.exe"
"PHOENIX","vmware-tray","2976","6788","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","5570560","2976","83","3",,"vmware-tray.exe"
"PHOENIX","CCC","7084","6872","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\CCC.exe","30867456","7084","1695","44",,"CCC.exe"
"PHOENIX","jusched","3824","6788","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","9146368","3824","168","1",,"jusched.exe"
"PHOENIX","chrome","8172","3408","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","303546368","8172","2314","36",,"chrome.exe"
"PHOENIX","chrome","8180","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5718016","8180","259","7",,"chrome.exe"
"PHOENIX","chrome","1600","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6828032","1600","89","2",,"chrome.exe"
"PHOENIX","chrome","7224","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","164638720","7224","511","17",,"chrome.exe"
"PHOENIX","chrome","3280","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","40456192","3280","537","18",,"chrome.exe"
"PHOENIX","RuntimeBroker","3216","812","C:\Windows\System32\RuntimeBroker.exe","6643712","3216","106","2",,"RuntimeBroker.exe"
"PHOENIX","chrome","7416","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","146505728","7416","263","20",,"chrome.exe"
"PHOENIX","chrome","6620","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","57782272","6620","213","17",,"chrome.exe"
"PHOENIX","chrome","7280","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","453750784","7280","390","19",,"chrome.exe"
"PHOENIX","chrome","7364","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","146612224","7364","208","16",,"chrome.exe"
"PHOENIX","chrome","7584","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","144502784","7584","210","17",,"chrome.exe"
"PHOENIX","chrome","7452","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","57163776","7452","219","19",,"chrome.exe"
"PHOENIX","chrome","7564","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","33124352","7564","196","14",,"chrome.exe"
"PHOENIX","chrome","8324","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","396627968","8324","412","23",,"chrome.exe"
"PHOENIX","chrome","1956","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","120909824","1956","248","14",,"chrome.exe"
"PHOENIX","nordvpn-service","8792","712","C:\Program Files (x86)\NordVPN\nordvpn-service.exe","55640064","8792","890","11",,"nordvpn-service.exe"
"PHOENIX","NordVPN","1900","3408","C:\Program Files (x86)\NordVPN\NordVPN.exe","237637632","1900","1317","37",,"NordVPN.exe"
"PHOENIX","chrome","6828","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","118460416","6828","232","14",,"chrome.exe"
"PHOENIX","chrome","824","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","124497920","824","242","17",,"chrome.exe"
"PHOENIX","chrome","8452","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","33501184","8452","195","14",,"chrome.exe"
"PHOENIX","cmd","5656","8172","C:\Windows\system32\cmd.exe","2183168","5656","30","1",,"cmd.exe"
"PHOENIX","conhost","3272","5656","C:\Windows\system32\conhost.exe","4980736","3272","60","2",,"conhost.exe"
