"PSComputerName","Manufacturer","Model","Name","SerialNumber","SKU","Product"
"2012DATA-DC1","Intel Corporation",,"Base Board","None",,"440BX Desktop Reference Platform"
"DELLWIN10","Dell Inc.",,"Base Board","/6FTWGV1/CN1296128G010A/",,"0CMN08"
