"PSComputerName","Description","Manufacturer","Model","SystemType","NumberOfProcessors","TotalPhysicalMemory","EnableDaylightSavingsTime","BootupState","PartOfDomain","Domain","Username","PrimaryOwnerName"
"2012DATA-DC1","AT/AT COMPATIBLE","VMware, Inc.","VMware Virtual Platform","x64-based PC","1","1073135616","True","Normal boot","True","contoso.com","CONTOSO\Administrator","Windows User"
"DELLWIN10","AT/AT COMPATIBLE","Dell Inc.","Latitude E6520","x64-based PC","1","17055137792","True","Normal boot","True","contoso.com","DELLWIN10\Dan","Daniel"
