"PSComputerName","LocalDateTime","LastBootUpTime","InstallDate"
"10.10.10.1","12/8/2018 12:46:33 PM","11/30/2018 4:46:03 PM","9/7/2014 10:03:31 PM"
"10.10.10.253","12/8/2018 12:46:22 PM","12/7/2018 2:18:56 PM","10/4/2018 9:25:11 PM"
