"PSComputerName","Name","Manufacturer","Caption","DeviceID","SocketDesignation","MaxClockSpeed"
"2012DATA-DC1","Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz","GenuineIntel","Intel64 Family 6 Model 42 Stepping 7","CPU0","CPU #000","2701"
"DELLWIN10","Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz","GenuineIntel","Intel64 Family 6 Model 42 Stepping 7","CPU0","CPU 1","2701"
