"PSComputerName","FreePhysicalMemory","TotalVisibleMemorySize","FreeVirtualMemory","TotalVirtualMemorySize"
"2012DATA-DC1","109916","1047984","354512","1310128"
"DELLWIN10","4959640","16655408","4861952","19145776"
