"PSComputerName","AvaiLabelBytes","AvaiLabelKBytes","AvaiLabelMBytes","CacheBytes","CacheBytesPeak","CacheFaultsPersec","Caption","CommitLimit","CommittedBytes","DemandZeroFaultsPersec","FreeAndZeroPageListBytes","FreeSystemPageTableEntries","Frequency_Object","Frequency_PerfTime","Frequency_Sys100NS","LongTermAverageStandbyCacheLifetimes","ModifiedPageListBytes","PageFaultsPersec","PageReadsPersec","PagesInputPersec","PagesOutputPersec","PagesPersec","PageWritesPersec","PercentCommittedBytesInUse","PercentCommittedBytesInUse_Base","PoolNonpagedAllocs","PoolNonpagedBytes","PoolPagedAllocs","PoolPagedBytes","PoolPagedResidentBytes","StandbyCacheCoreBytes","StandbyCacheNormalPriorityBytes","StandbyCacheReserveBytes","SystemCacheResidentBytes","SystemCodeResidentBytes","SystemCodeTotalBytes","SystemDriverResidentBytes","SystemDriverTotalBytes","Timestamp_Object","Timestamp_PerfTime","Timestamp_Sys100NS","TransitionFaultsPersec","TransitionPagesRePurposedPersec","WriteCopiesPersec"
"2012DATA-DC1",,,,"32514048","139571200","6661749",,"1341571072","982032384","55337922","466944","33557741","0","2637695","10000000","14400","389120","281549176","443866","2433047","5248253","7681300","403750","239754","327532","103935","49180672","73059","88141824","65851392","0","108457984","0","32514048","3604480","3473408","9330688","11481088","0","1672285459230","131887471089890000","219653241","2232258","922688"
"DELLWIN10",,,,"907993088","1228279808","60818737",,"19605274624","14599393280","116062901","48349184","12281523","0","2630757","10000000","14400","86704128","224983500","1495191","38841334","1205549","40046883","4818","3198318711","4294967295","1307134","271310848","278151","529801216","273653760","195674112","4654465024","188555264","907993088","0","0","10686464","17588224","0","213511011285","131887470956260000","51716901","29165675","1181810"
