Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
1801,TCP,UDP,Microsoft Message Queuing,Official,Registered,
1812,TCP,UDP,"RADIUS authentication protocol, radius",Official,Registered,
1813,TCP,UDP,"RADIUS accounting protocol, radius-acct",Official,Registered,
1863,TCP,UDP,"Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients",Official,Registered,
1880,?,?,Node-RED,Unofficial,Registered,
1883,TCP,UDP,MQTT (formerly MQ Telemetry Transport),Official,Registered,
1900,TCP,UDP,"Simple Service Discovery Protocol (SSDP), discovery of UPnP devices",Official,Registered,
1935,TCP,UDP,"Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005",Official,Registered,
1935,TCP,UDP,"Real Time Messaging Protocol (RTMP)[citation needed], primarily used in Adobe Flash",Unofficial,Registered,
1967,,UDP,Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol[citation needed],Unofficial,Registered,
1970,TCP,UDP,Netop Remote Control,Official,Registered,
1972,TCP,UDP,InterSystems Caché,Official,Registered,
1984,TCP,UDP,Big Brother,Official,Registered,
1985,TCP,UDP,Cisco Hot Standby Router Protocol (HSRP),Official,Registered,
1998,TCP,UDP,Cisco X.25 over TCP (XOT) service,Official,Registered,
2000,TCP,UDP,Cisco Skinny Client Control Protocol (SCCP),Official,Registered,
2010,TCP,,Artemis: Spaceship Bridge Simulator,Unofficial,Registered,
2033,TCP,UDP,Civilization IV multiplayer,Unofficial,Registered,
2049,TCP SCTP,UDP,Network File System (NFS),Official,Registered,
2056,TCP,UDP,Civilization IV multiplayer,Unofficial,Registered,
2080,TCP,UDP,Autodesk NLM (FLEXlm),Official,Registered,
2082,TCP,,cPanel default,Unofficial,Registered,
2083,TCP,UDP,Secure RADIUS Service (radsec),Official,Registered,
2083,TCP,,cPanel default SSL,Unofficial,Registered,
2086,TCP,UDP,GNUnet,Official,Registered,
2086,TCP,,WebHost Manager default,Unofficial,Registered,
2087,TCP,,WebHost Manager default SSL,Unofficial,Registered,
2095,TCP,,cPanel default web mail,Official,Registered,
2096,TCP,,cPanel default SSL web mail,Unofficial,Registered,
2100,TCP,,Warzone 2100 multiplayer[citation needed],Unofficial,Registered,
2101,TCP,,Networked Transport of RTCM via Internet Protocol (NTRIP)[citation needed],Unofficial,Registered,
2102,TCP,UDP,Zephyr Notification Service server,Official,Registered,
2103,TCP,UDP,Zephyr Notification Service serv-hm connection,Official,Registered,
2104,TCP,UDP,Zephyr Notification Service hostmanager,Official,Registered,
2123,TCP,UDP,GTP control messages (GTP-C),Official,Registered,
2142,TCP,UDP,TDMoIP (TDM over IP),Official,Registered,
2152,TCP,UDP,GTP user data messages (GTP-U),Official,Registered,
2159,TCP,UDP,GDB remote debug port,Official,Registered,
2181,TCP,UDP,EForward-document transport system,Official,Registered,
2181,TCP,,Apache ZooKeeper default client port[citation needed],Unofficial,Registered,
2195,TCP,,Apple Push Notification Service,Unofficial,Registered,
2196,TCP,,"Apple Push Notification Service, feedback service",Unofficial,Registered,
2210,TCP,UDP,NOAAPORT Broadcast Network,Official,Registered,
2211,TCP,UDP,EMWIN,Official,Registered,
2221,TCP,,ESET anti-virus updates,Unofficial,Registered,
2222,TCP,UDP,EtherNet/IP implicit messaging for IO data,Official,Registered,
2222,?,?,DirectAdmin Access,Unofficial,Registered,
2222-2226,TCP,,ESET Remote administrator,Official,Registered,
2261,TCP,UDP,CoMotion master,Official,Registered,
2262,TCP,UDP,CoMotion backup,Official,Registered,
2266,TCP,UDP,M-Files,Official,Registered,
2302,,UDP,ArmA multiplayer[citation needed],Unofficial,Registered,
2302,,UDP,Halo: Combat Evolved multiplayer host,Unofficial,Registered,
2303,,UDP,ArmA multiplayer (default port for game +1)[citation needed],Unofficial,Registered,
2302,,UDP,Halo: Combat Evolved multiplayer listener,Unofficial,Registered,
2305,,UDP,ArmA multiplayer (default port for game +3)[citation needed],Unofficial,Registered,
2351,TCP,,AIM game LAN network port[citation needed],Unofficial,Registered,
2368,TCP,,Ghost (blogging platform),Unofficial,Registered,
2369,TCP,,Default for BMC Control-M/Server Configuration Agent,Unofficial,Registered,
2370,TCP,,"Default for BMC Control-M/Server, to allow the Control-M/Enterprise Manager to connect to the Control-M/Server",Unofficial,Registered,
2375,TCP,,Docker REST API (plain),Official,Registered,
2375,,UDP,Reserved,Official,Registered,
2376,TCP,,Docker REST API (SSL),Official,Registered,
2376,,UDP,Reserved,Official,Registered,
2379,TCP,,CoreOS etcd client communication,Official,Registered,
2379,,UDP,Reserved,Official,Registered,
2379,TCP,,KGS Go Server,Unofficial,Registered,
2380,TCP,,CoreOS etcd server communication,Official,Registered,
2380,,UDP,Reserved,Official,Registered,
2399,TCP,UDP,FileMaker Data Access Layer (ODBC/JDBC),Official,Registered,
2401,TCP,UDP,CVS version control system password-based server,Official,Registered,
2404,TCP,UDP,"IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits",Official,Registered,
2424,TCP,,OrientDB database listening for binary client connections,Unofficial,Registered,
2427,TCP,UDP,Media Gateway Control Protocol (MGCP) media gateway,Official,Registered,
2447,TCP,UDP,ovwdb-OpenView Network Node Manager (NNM) daemon,Official,Registered,
2480,TCP,,OrientDB database listening for HTTP client connections,Unofficial,Registered,
2483,TCP,UDP,"Oracle database listening for insecure client connections to the listener, replaces port 1521[when?]",Official,Registered,
2484,TCP,UDP,Oracle database listening for SSL client connections to the listener,Official,Registered,
2535,TCP,UDP,Multicast Address Dynamic Client Allocation Protocol (MADCAP). All standard messages are UDP datagrams.,Official,Registered,
2541,TCP,UDP,LonTalk/IP,Official,Registered,
2546-2548,TCP,UDP,EVault data protection services,Official,Registered,
2593,TCP,UDP,Ultima Online servers[citation needed],Unofficial,Registered,
2598,TCP,,Citrix Independent Computing Architecture (ICA) with Session Reliability; port 1494 without session reliability,Unofficial,Registered,
2599,TCP,UDP,Ultima Online servers[citation needed],Unofficial,Registered,
2638,TCP,UDP,SQL Anywhere database server,Official,Registered,
2703,TCP,,"Vipul's Razor distributed, collaborative, spam-detection-and-filtering network",Unofficial,Registered,
2710,TCP,UDP,XBT Tracker. UDP tracker extension is considered experimental.,Unofficial,Registered,
2727,TCP,UDP,Media Gateway Control Protocol (MGCP) media gateway controller (call agent),Official,Registered,
2809,TCP,UDP,"corbaloc:iiop URL, per the CORBA 3.0.3 specification",Official,Registered,
2811,TCP,UDP,"gsi ftp, per the GridFTP specification",Official,Registered,
2827,TCP,,I2P BOB Bridge,Unofficial,Registered,
2944,TCP,UDP,Megaco text H.248,Official,Registered,
2945,TCP,UDP,Megaco binary (ASN.1) H.248,Official,Registered,
2947,TCP,UDP,"gpsd, GPS daemon",Official,Registered,
2948,TCP,UDP,WAP push Multimedia Messaging Service (MMS),Official,Registered,
2949,TCP,UDP,WAP push secure (MMS),Official,Registered,
2967,TCP,UDP,Symantec System Center agent (SSC-AGENT),Official,Registered,
3000,TCP,,Cloud9 IDE server[citation needed],Unofficial,Registered,
3000,TCP,,Ruby on Rails development default,Unofficial,Registered,
3000,TCP,,Meteor development default[not in citation given],Unofficial,Registered,
3000,TCP,UDP,"Resilio Sync, spun from BitTorrent Sync.",Unofficial,Registered,
3000,,UDP,Distributed Interactive Simulation (DIS)[citation needed],Unofficial,Registered,
3004,TCP,,iSync,Unofficial,Registered,
3020,TCP,UDP,"Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS.",Official,Registered,
3050,TCP,UDP,gds-db (Interbase/Firebird databases),Official,Registered,
3052,TCP,UDP,APC PowerChute Network,Official,Registered,
3074,TCP,UDP,Xbox LIVE and Games for Windows - Live,Official,Registered,
3101,TCP,,BlackBerry Enterprise Server communication protocol,Unofficial,Registered,
3128,TCP,?,Squid caching web proxy,Unofficial,Registered,
3225,TCP,UDP,Fibre Channel over IP (FCIP),Official,Registered,
3233,TCP,UDP,WhiskerControl research control protocol,Official,Registered,
3260,TCP,UDP,iSCSI,Official,Registered,
3268,TCP,UDP,"msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)",Official,Registered,
3269,TCP,UDP,"msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)",Official,Registered,
3283,TCP,UDP,"Net Assistant, a predecessor to Apple Remote Desktop",Official,Registered,
3283,TCP,UDP,Apple Remote Desktop 2.0 or later,Unofficial,Registered,
3290,,UDP,Virtual Air Traffic Simulation (VATSIM) network voice communication[citation needed],Unofficial,Registered,
3305,TCP,UDP,Odette File Transfer Protocol (OFTP),Official,Registered,
3306,TCP,UDP,MySQL database system,Official,Registered,
3313,TCP,,Verisys file integrity monitoring software,Unofficial,Registered,
3316,TCP,,AzimuthVMS database port for the CCTV recording software AzimuthVMS,Unofficial,Registered,
3323,TCP,UDP,DECE GEODI Server,Unofficial,Registered,
3332,UDP,,Thundercloud DataPath Overlay Control,Unofficial,Registered,
3333,TCP,,"Eggdrop, an IRC bot default port",Unofficial,Registered,
3333,TCP,,Network Caller ID server,Unofficial,Registered,
3333,TCP,,CruiseControl.rb,Unofficial,Registered,
3351,?,?,Pervasive PSQL,Unofficial,Registered,
3386,TCP,UDP,GTP' 3GPP GSM/UMTS CDR logging protocol,Official,Registered,
3389,TCP,UDP,Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT),Official,Registered,Plain Text (v5.2 is Cypher Text)
3396,TCP,UDP,Novell NDPS Printer Agent,Official,Registered,
3412,TCP,UDP,xmlBlaster,Official,Registered,
3455,TCP,UDP,Resource Reservation Protocol (RSVP),Official,Registered,
3423,TCP,,Xware xTrm Communication Protocol,Official,Registered,
3424,TCP,,Xware xTrm Communication Protocol over SSL,Official,Registered,
3478,TCP,UDP,"STUN, a protocol for NAT traversal",Official,Registered,
3478,TCP,UDP,"TURN, a protocol for NAT traversal (extension to STUN)",Official,Registered,
3479,TCP,UDP,PlayStation Network,Unofficial,Registered,
3480,TCP,UDP,PlayStation Network,Unofficial,Registered,
3483,,UDP,Slim Devices discovery protocol,Official,Registered,
3483,TCP,,Slim Devices SlimProto protocol,Official,Registered,
3493,TCP,UDP,Network UPS Tools (NUT),Official,Registered,
3516,TCP,UDP,Smartcard Port,Official,Registered,
3527,,UDP,Microsoft Message Queuing,Official,Registered,
3535,TCP,,SMTP alternate,Unofficial,Registered,
3544,,UDP,Teredo tunneling,Official,Registered,
3562,TCP,UDP,SDBProxy Simple DataBase middle-ware and proxy,Official,Registered,
3605,,UDP,ComCam IO Port,Official,Registered,
3606,TCP,UDP,Splitlock Server,Official,Registered,
3632,TCP,,"Distcc, distributed compiler",Official,Registered,
3644,TCP,,"Evidian, ssowatch",Official,Registered,
3645,TCP,UDP,Cyc,Official,Registered,
3659,TCP,UDP,"Apple SASL, used by Mac OS X Server Password Server",Official,Registered,
3659,,UDP,Battlefield 4,Unofficial,Registered,
3667,TCP,UDP,Information Exchange,Official,Registered,
3689,TCP,,"Digital Audio Access Protocol (DAAP), used by Apple's iTunes and AirPlay",Official,Registered,
3690,TCP,UDP,Subversion (SVN) version control system,Official,Registered,
3702,TCP,UDP,"Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista and later",Official,Registered,
3724,TCP,UDP,Some Blizzard games,Official,Registered,
3724,TCP,,Club Penguin Disney online game for kids,Unofficial,Registered,
3725,TCP,UDP,Netia NA-ER Port,Official,Registered,
3768,TCP,UDP,RBLcheckd server daemon,Official,Registered,
3784,,UDP,Bidirectional Forwarding Detection (BFD)for IPv4 and IPv6 (Single Hop) (RFC 5881),Official,Registered,
3785,,UDP,VoIP program used by Ventrilo,Unofficial,Registered,
3799,,UDP,RADIUS change of authorization,Official,Registered,
3800,TCP,,HGG programs[citation needed],Unofficial,Registered,
3804,TCP,UDP,Harman Professional HiQnet protocol,Official,Registered,
3825,TCP,,RedSeal Networks client/server connection[citation needed],Unofficial,Registered,
3826,TCP,UDP,WarMUX game server,Official,Registered,
3826,TCP,,RedSeal Networks client/server connection[citation needed],Unofficial,Registered,
3835,TCP,,RedSeal Networks client/server connection[citation needed],Unofficial,Registered,
3830,TCP,UDP,"System Management Agent, developed and used by Cerner to monitor and manage solutions",Official,Registered,
3856,TCP,UDP,ERP Server Application used by F10 Software,Unofficial,Registered,
3880,TCP,UDP,IGRS,Official,Registered,
3868,TCP,SCTP,Diameter base protocol (RFC 3588),Official,Registered,
3872,TCP,,Oracle Enterprise Manager Remote Agent,Official,Registered,
3899,TCP,,Remote Administrator,Unofficial,Registered,
3900,TCP,,"udt_os, IBM UniData UDT OS",Official,Registered,
3945,TCP,UDP,"EMCADS service, a Giritech product used by G/On",Official,Registered,
3960,,UDP,Warframe Online,Unofficial,Registered,
3962,,UDP,Warframe Online,Unofficial,Registered,
3978,TCP,UDP,OpenTTD game (masterserver and content service),Unofficial,Registered,
3979,TCP,UDP,OpenTTD game,Unofficial,Registered,
3999,TCP,UDP,Norman distributed scanning service,Official,Registered,
4000,TCP,UDP,Diablo II game,Unofficial,Registered,
4001,TCP,,Microsoft Ants game,Unofficial,Registered,
4001,TCP,,CoreOS etcd client communication,Unofficial,Registered,
4007,TCP,,PrintBuzzer printer monitoring socket server[citation needed],Unofficial,Registered,
4018,TCP,UDP,Protocol information and warnings[clarification needed],Official,Registered,
4035,TCP,TCP,IBM Rational Developer for System z Remote System Explorer Daemon,Unofficial,Registered,
4045,TCP,UDP,Solaris lockd NFS lock daemon/manager,Unofficial,Registered,
4050,TCP,,Mud Master Chat protocol (MMCP) - Peer-to-peer communications between MUD clients.,Unofficial,Registered,
4069,,UDP,Minger Email Address Verification Protocol,Official,Registered,
4089,TCP,UDP,OpenCORE Remote Control Service,Official,Registered,
4090,TCP,UDP,Kerio,Official,Registered,
4093,TCP,UDP,PxPlus Client server interface ProvideX,Official,Registered,
4096,TCP,UDP,Ascom Timeplex Bridge Relay Element (BRE),Official,Registered,
4105,TCP,UDP,Shofar (ShofarNexus),Official,Registered,
4111,TCP,,Xgrid,Official,Registered,
4116,TCP,UDP,Smartcard-TLS,Official,Registered,
4117,TCP,,WatchGuard System Manager,Unofficial,Registered,
4125,TCP,,Microsoft Remote Web Workplace administration,Unofficial,Registered,
4172,TCP,UDP,Teradici PCoIP,Official,Registered,
4190,TCP,,ManageSieve,Official,Registered,
4198,TCP,UDP,Couch Potato Android app,Unofficial,Registered,
4201,TCP,,TinyMUD and various derivatives,Unofficial,Registered,
4222,TCP,,NATS server default port ,Unofficial,Registered,
4226,TCP,UDP,"Aleph One, a computer game",Unofficial,Registered,
4224,TCP,,Cisco Audio Session Tunneling[citation needed],Unofficial,Registered,
4242,TCP,,Orthanc - DICOM server,Unofficial,Registered,
4242,TCP,,Quassel distributed IRC client,Unofficial,Registered,
4243,TCP,,"Docker implementations, redistributions, and setups default",Unofficial,Registered,
4243,TCP,,CrashPlan,Unofficial,Registered,
4244,TCP,UDP,Viber,Unofficial,Registered,
4303,TCP,UDP,Simple Railroad Command Protocol (SRCP),Official,Registered,
4307,TCP,,TrueConf Client - TrueConf Server media data exchange,Official,Registered,
4321,TCP,,Referral Whois (RWhois) Protocol,Official,Registered,
4323,,UDP,Lincoln Electric's ArcLink/XT[citation needed],Unofficial,Registered,
4352,TCP,,"PJLink, by JBMIA for controlling projectors via LAN connections",Official,Registered,
4443,TCP,UDP,Individual Zone Solutions P/L Remote Mail Checking Protocol,Official,Registered,
4444,TCP,UDP,Oracle WebCenter Content: Content Server-Intradoc Socket port. (formerly known as Oracle Universal Content Management). Port though often changed during installation Metasploit: Default listener port,Unofficial,Registered,
4444,TCP,UDP,Xvfb X server virtual frame buffer service,Unofficial,Registered,
4444-4445,TCP,,I2P HTTP/S proxy,Unofficial,Registered,
4486,TCP,UDP,Integrated Client Message Service (ICMS),Official,Registered,
4488,TCP,UDP,"Apple Wide Area Connectivity Service, used by Back to My Mac",Official,Registered,
4500,,UDP,"IPSec NAT Traversal (RFC 3947, RFC 4306)",Official,Registered,
4502-4534,TCP,,Microsoft Silverlight connectable ports under non-elevated trust,Official,Registered,
4505-4506,TCP,,Salt master,Unofficial,Registered,
4534,,UDP,Armagetron Advanced server default,Unofficial,Registered,
4554,TCP,,Default Wesk Self-Hosting Port,Unofficial,Registered,
4560,TCP,,default Log4j socketappender port,Unofficial,Registered,
4567,TCP,,Sinatra default server port in development mode (HTTP),Unofficial,Registered,
4569,,UDP,Inter-Asterisk eXchange (IAX2),Official,Registered,
4604,TCP,,Identity Registration Protocol,Official,Registered,
4605,TCP,,Direct End to End Secure Chat Protocol,Official,Registered,
4610-4640,TCP,,QualiSystems TestShell Suite Services,Unofficial,Registered,
4662,TCP,UDP,OrbitNet Message Service,Official,Registered,
4662,TCP,,Default for older versions of eMule,Unofficial,Registered,
4664,TCP,,Google Desktop Search,Unofficial,Registered,
4672,,UDP,Default for older versions of eMule,Unofficial,Registered,
4711,TCP,,eMule optional web interface,Unofficial,Registered,
4711,TCP,,McAfee Web Gateway 7 GUI HTTP default[citation needed],Unofficial,Registered,
4712,TCP,,McAfee Web Gateway 7 GUI HTTPS default[citation needed],Unofficial,Registered,
4713,TCP,,PulseAudio sound server,Unofficial,Registered,
4728,TCP,,Computer Associates Desktop and Server Management (DMP)/Port Multiplexer,Official,Registered,
4729,,UDP,GSMTAP,Official,Registered,
4730,TCP,UDP,Gearman's job server,Official,Registered,
4732,,UDP,Digital Airways's OHM server's commands to mobile devices (used mainly for binary SMS),Official,Registered,
4739,TCP,UDP,IP Flow Information Export,Official,Registered,
4747,TCP,,Apprentice,Unofficial,Registered,
4750,TCP,,BladeLogic Agent,Unofficial,Registered,
4753,TCP,UDP,SIMON (service and discovery),Official,Registered,
4789,,UDP,Virtual eXtensible Local Area Network (VXLAN),Official,Registered,
4840,TCP,UDP,OPC UA TCP Protocol for OPC Unified Architecture from OPC Foundation,Official,Registered,
4843,TCP,UDP,OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation,Official,Registered,
4847,TCP,UDP,"Web Fresh Communication, Quadrion Software & Odorless Entertainment",Official,Registered,
4848,TCP,,"Java, Glassfish Application Server administration default",Unofficial,Registered,
4894,TCP,UDP,LysKOM Protocol A,Official,Registered,
4899,TCP,UDP,Radmin remote administration tool,Official,Registered,
4949,TCP,,Munin Resource Monitoring Tool,Official,Registered,
4950,TCP,UDP,Cylon Controls UC32 Communications Port,Official,Registered,
4982,TCP,UDP,Solar Data Log (JK client app for PV solar inverters)[citation needed],Unofficial,Registered,
4993,TCP,UDP,Home FTP Server web Interface Default Port[citation needed],Unofficial,Registered,
5000,TCP,,commplex-main,Official,Registered,
5000,TCP,,UPnP-Windows network device interoperability,Unofficial,Registered,
5000,TCP,UDP,"VTun, VPN Software",Unofficial,Registered,
5000,,UDP,FlightGear multiplayer,Unofficial,Registered,
5000,TCP,,"Synology Inc. Management Console, File Station, Audio Station",Unofficial,Registered,
5000,TCP,,Flask Development Webserver,Unofficial,Registered,
5000,TCP,,Heroku console access,Official,Registered,
5001,TCP,,commplex-link,Official,Registered,
5001,TCP,,Slingbox and Slingplayer,Unofficial,Registered,
5001,TCP,UDP,Iperf (Tool for measuring TCP and UDP bandwidth performance),Unofficial,Registered,
5001,TCP,,"Synology Inc. Secured Management Console, File Station, Audio Station",Unofficial,Registered,
5002,TCP,,ASSA ARX access control system,Unofficial,Registered,
5002,,UDP,Drobo Dashboard,Unofficial,Registered,
5003,TCP,UDP,FileMaker - name binding and transport,Official,Registered,
5004,TCP DCCP,UDP,"Real-time Transport Protocol media data (RTP) (RFC 3551, RFC 4571)",Official,Registered,
5005,TCP DCCP,UDP,"Real-time Transport Protocol control protocol (RTCP) (RFC 3551, RFC 4571)",Official,Registered,
5010,TCP,UDP,"Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform)
The TCP port is now used for: IBM WebSphere MQ Workflow",Official,Registered,
5011,TCP,UDP,TelePath (the IBM FlowMark workflow-management system messaging platform),Official,Registered,
5029,TCP,,Sonic Robo Blast 2 : Multiplayer,Unofficial,Registered,
5031,TCP,UDP,AVM CAPI-over-TCP (ISDN over Ethernet tunneling)[citation needed],Unofficial,Registered,
5037,TCP,,Android ADB server,Unofficial,Registered,
5048,TCP,,Texai Message Service,Official,Registered,
5050,TCP,,Yahoo! Messenger,Unofficial,Registered,
5051,TCP,,ita-agent Symantec Intruder Alert,Official,Registered,
5060,TCP,UDP,Session Initiation Protocol (SIP),Official,Registered,
5061,TCP,,Session Initiation Protocol (SIP) over TLS,Official,Registered,
5062,TCP,UDP,Localisation access,Official,Registered,
5064,TCP,UDP,EPICS Channel Access Server,Official,Registered,
5065,TCP,UDP,EPICS Channel Access Repeater Beacon,Official,Registered,
5070,TCP,,Binary Floor Control Protocol (BFCP),Unofficial,Registered,
5082,TCP,UDP,Qpur Communication Protocol,Official,Registered,
5083,TCP,UDP,Qpur File Protocol,Official,Registered,
5084,TCP,UDP,EPCglobal Low Level Reader Protocol (LLRP),Official,Registered,
5085,TCP,UDP,EPCglobal Low Level Reader Protocol (LLRP) over TLS,Official,Registered,
5093,,UDP,"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, client-to-server",Official,Registered,
5099,TCP,UDP,"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server",Official,Registered,
5104,TCP,,IBM Tivoli Framework NetCOOL/Impact HTTP Service,Unofficial,Registered,
5106,TCP,,A-Talk Common connection[citation needed],Unofficial,Registered,
5107,TCP,,A-Talk Remote server connection[citation needed],Unofficial,Registered,
5108,TCP,,VPOP3 Mail Server Webmail[citation needed],Unofficial,Registered,
5109,TCP,UDP,VPOP3 Mail Server Status[citation needed],Unofficial,Registered,
5121,TCP,,Neverwinter Nights,Unofficial,Registered,
5124,TCP,UDP,TorgaNET (Micronational Darknet),Unofficial,Registered,
5125,TCP,UDP,TorgaNET (Micronational Intelligence Darknet),Unofficial,Registered,
5150,TCP,UDP,ATMP Ascend Tunnel Management Protocol,Official,Registered,
5150,TCP,UDP,Malware Cerberus RAT[citation needed],Unofficial,Registered,
5151,TCP,,ESRI SDE Instance,Official,Registered,
5151,,UDP,ESRI SDE Remote Start,Official,Registered,
5154,TCP,UDP,BZFlag,Official,Registered,
5172,TCP,,PC over IP Endpoint Management,Official,Registered,
5176,TCP,,ConsoleWorks default UI interface[citation needed],Unofficial,Registered,
5190,TCP,,AOL Instant Messenger protocol,Official,Registered,
5198,,UDP,EchoLink VoIP Amateur Radio Software (Voice),Unofficial,Registered,
5199,,UDP,EchoLink VoIP Amateur Radio Software (Voice),Unofficial,Registered,
5200,TCP,,EchoLink VoIP Amateur Radio Software (Information),Unofficial,Registered,
5201,TCP,UDP,Iperf3 (Tool for measuring TCP and UDP bandwidth performance),Unofficial,Registered,
5222,TCP,,Extensible Messaging and Presence Protocol (XMPP) client connection,Official,Registered,
5223,TCP,,Apple Push Notification Service,Unofficial,Registered,
5223,TCP,,Extensible Messaging and Presence Protocol (XMPP) client connection over SSL,Unofficial,Registered,
5228,TCP,,HP Virtual Room Service,Official,Registered,
5228,TCP,,"Google Play, Android Cloud to Device Messaging Service, Google Cloud Messaging",Unofficial,Registered,
5242,TCP,UDP,Viber,Unofficial,Registered,
5243,TCP,UDP,Viber,Unofficial,Registered,
5246,,UDP,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP control,Official,Registered,
5247,,UDP,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP data,Official,Registered,
5269,TCP,,Extensible Messaging and Presence Protocol (XMPP) server-to-server connection,Official,Registered,
5280,TCP,,Extensible Messaging and Presence Protocol (XMPP) XEP-0124: Bidirectional-streams Over Synchronous HTTP (BOSH),Official,Registered,
5281,TCP,,Undo License Manager,Official,Registered,
5281,TCP,,Extensible Messaging and Presence Protocol (XMPP),Unofficial,Registered,
5298,TCP,UDP,Extensible Messaging and Presence Protocol (XMPP),Official,Registered,
5310,TCP,UDP,"Outlaws (1997 video game). Both UDP and TCP are reserved, but only UDP is used",Official,Registered,
5349,TCP,,"STUN (TLS over TCP), a protocol for NAT traversal",Official,Registered,
5349,TCP,,"TURN (TLS over TCP), a protocol for NAT traversal",Official,Registered,
5351,,UDP,NAT Port Mapping Protocol and Port Control Protocol-client-requested configuration for connections through network address translators and firewalls,Official,Registered,
5353,,UDP,Multicast DNS (mDNS),Official,Registered,
5355,TCP,UDP,"Link-Local Multicast Name Resolution (LLMNR), allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)",Official,Registered,
5357,TCP,UDP,"Web Services for Devices (WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008)",Unofficial,Registered,
5358,TCP,UDP,"WSDAPI Applications to Use a Secure Channel (only provided by Windows Vista, Windows 7 and Server 2008)",Unofficial,Registered,
5394,,UDP,"Kega Fusion, a Sega multi-console emulator",Unofficial,Registered,
5402,TCP,UDP,"mftp, Stratacache OmniCast content delivery system MFTP file sharing protocol",Official,Registered,
5405,TCP,UDP,NetSupport Manager,Official,Registered,
5412,TCP,UDP,IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router,Official,Registered,
5413,TCP,UDP,Wonderware SuiteLink service,Official,Registered,
5417,TCP,UDP,SNS Agent,Official,Registered,
5421,TCP,UDP,NetSupport Manager,Official,Registered,
5432,TCP,UDP,PostgreSQL database system,Official,Registered,
5433,TCP,,Bouwsoft file/webserver,Unofficial,Registered,
5445,,UDP,Cisco Unified Video Advantage[citation needed],Unofficial,Registered,
5450,TCP,,TiePie engineering data acquisition,Official,Registered,
5450,TCP,,OSIsoft PI Server Client Access,Unofficial,Registered,
5450,,UDP,TiePie engineering data acquisition (discovery),Official,Registered,
5454,TCP,,OSIsoft PI Asset Framework 1.x Client Access,Unofficial,Registered,
5455,TCP,,OSIsoft PI Asset Framework 1.x Client Access,Unofficial,Registered,
5457,TCP,,OSIsoft PI Asset Framework 2.x Client Access,Unofficial,Registered,
5458,TCP,,OSIsoft PI Notifications Client Access,Unofficial,Registered,
5459,TCP,,OSIsoft PI Asset Framework 2.x Client Access,Unofficial,Registered,
5463,TCP,,OSIsoft PI Asset Based Analytics,Unofficial,Registered,
5468,TCP,,OSIsoft PI Event Driven Notifications Client Access,Unofficial,Registered,
5480,TCP,,VMware VAMI (Virtual Appliance Management Infrastructure)-used for initial setup of various administration settings on Virtual Appliances designed using the VAMI architecture.,Unofficial,Registered,
5481,TCP,,Schneider Electric's ClearSCADA (SCADA implementation for Windows) - used for client-to-server communication.,Unofficial,Registered,
5495,TCP,,IBM Cognos TM1 Admin server,Unofficial,Registered,
5498,TCP,,Hotline tracker server connection,Unofficial,Registered,
5499,,UDP,Hotline tracker server discovery,Unofficial,Registered,
5500,TCP,,"VNC remote desktop protocol-for incoming listening viewer, Hotline control connection",Unofficial,Registered,
5501,TCP,,Hotline file transfer connection,Unofficial,Registered,
5517,TCP,,Setiqueue Proxy server client for SETI@Home project,Unofficial,Registered,
5550,TCP,,Hewlett-Packard Data Protector[citation needed],Unofficial,Registered,
5554,TCP,UDP,Fastboot default wireless port,Unofficial,Registered,
5555,TCP,UDP,Oracle WebCenter Content: Inbound Refinery-Intradoc Socket port. (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial,Registered,
5555,TCP,,"Freeciv versions up to 2.0, Hewlett-Packard Data Protector, McAfee EndPoint Encryption Database Server, SAP, Default for Microsoft Dynamics CRM 4.0, Softether VPN default port",Unofficial,Registered,
5556,TCP,UDP,"Freeciv, Oracle WebLogic Server Node Manager",Official,Registered,
5568,TCP,UDP,"Session Data Transport (SDT), a part of Architecture for Control Networks (ACN)[full citation needed]",Official,Registered,
