"Name","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"smss","312","312",,"5/24/2020 9:51:04 PM","188416",,"44","2",,,,"Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"SearchFilterHost","1940","1940","C:\Windows\system32\SearchFilterHost.exe","5/27/2020 1:14:24 PM","4026368","1896","100","3","Microsoft Corporation","Windows? Search","Microsoft Windows Search Filter Host","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"spoolsv","1016","1016","C:\Windows\System32\spoolsv.exe","5/24/2020 9:51:09 PM","1601536","2116","340","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"SearchIndexer","2744","2744","C:\Windows\system32\SearchIndexer.exe","5/24/2020 8:43:34 PM","12705792","1940","567","12","Microsoft Corporation","Windows? Search","Microsoft Windows Search Indexer","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"SearchProtocolHost","2336","2336","C:\Windows\system32\SearchProtocolHost.exe","5/27/2020 1:09:26 PM","6950912","1984","310","6","Microsoft Corporation","Windows? Search","Microsoft Windows Search Protocol Host","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"services","544","544",,"5/24/2020 8:41:16 PM","5468160",,"207","1",,,,"Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","392","392","C:\Windows\system32\svchost.exe","5/24/2020 9:51:09 PM","10158080","2160","473","21","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"smss","312","312",,"5/24/2020 8:41:08 PM","196608",,"44","2",,,,"Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","408","408","C:\Windows\system32\svchost.exe","5/24/2020 9:51:09 PM","10653696","2204","822","27","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"spoolsv","976","976","C:\Windows\System32\spoolsv.exe","5/24/2020 8:41:23 PM","1970176","2112","338","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","324","324","C:\Windows\system32\svchost.exe","5/24/2020 8:41:21 PM","10928128","2156","959","41","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","612","612","C:\Windows\system32\svchost.exe","5/24/2020 9:51:07 PM","4009984","2248","350","9","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","332","332","C:\Windows\system32\svchost.exe","5/24/2020 8:41:23 PM","10014720","2200","473","21","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","640","640","C:\Windows\system32\svchost.exe","5/24/2020 9:51:08 PM","2949120","2292","308","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","608","608","C:\Windows\system32\svchost.exe","5/24/2020 8:41:17 PM","4214784","2244","346","8","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","784","784","C:\Windows\System32\svchost.exe","5/24/2020 9:51:08 PM","11681792","2336","615","19","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","652","652","C:\Windows\system32\svchost.exe","5/24/2020 8:41:18 PM","2981888","2288","311","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","832","832","C:\Windows\system32\svchost.exe","5/24/2020 9:51:08 PM","19398656","2380","1402","32","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","804","804","C:\Windows\System32\svchost.exe","5/24/2020 8:41:19 PM","12787712","2332","616","20","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","900","900","C:\Windows\system32\svchost.exe","5/24/2020 9:51:08 PM","6287360","2424","492","20","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","852","852","C:\Windows\system32\svchost.exe","5/24/2020 8:41:20 PM","22802432","2376","1632","35","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","956","956","C:\Windows\System32\svchost.exe","5/24/2020 9:51:09 PM","11337728","2468","373","15","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","876","876","C:\Windows\system32\svchost.exe","5/24/2020 8:41:20 PM","6172672","2420","495","19","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"svchost","1696","1696","C:\Windows\system32\svchost.exe","5/24/2020 9:51:11 PM","1085440","2512","269","14","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","932","932","C:\Windows\System32\svchost.exe","5/24/2020 8:41:20 PM","14073856","2464","375","15","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"System","4","4",,"5/24/2020 9:51:04 PM","544768",,"614","108",,,,"Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","1580","1580","C:\Windows\system32\svchost.exe","5/24/2020 8:41:30 PM","1417216","2508","264","14","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
